timestamp,pair,open,high,low,close,volume,lower_band,middle_band,upper_band,bb_touch_strength,bb_position,bb_width_pct,rsi_value,rsi_divergence,volume_ratio,candle_rejection,candle_body_pct,atr_pct,trend_strength,prev_candle_body_pct,prev_volume_ratio,gap_from_prev_close,price_momentum,prev_was_selloff,previous_touches,time_since_last_touch,support_distance_pct,session,Label
2015.01.16 12:00:00,EURUSD,1.16131,1.16367,1.15749,1.15888,20999,1.156923,1.172756,1.18859,1.00049,0.061805,2.700255,26.016516,0,1.145065,-0.572016,-0.209685,0.462972,-3.231327,-0.149832,1.109342,0.000861,-0.314346,0,8,2,6.806572,1,0
2015.01.16 16:00:00,EURUSD,1.15887,1.16074,1.14594,1.15157,33441,1.153516,1.171232,1.188948,0.993433,-0.054908,3.025267,20.925908,0,1.741624,-0.771233,-0.633917,0.524432,-3.279614,-0.209685,1.145065,-0.000863,-0.997849,0,9,0,6.214993,1,0
2015.01.16 20:00:00,EURUSD,1.15161,1.15883,1.1511,1.15679,20016,1.15168,1.170172,1.188663,0.999496,0.138167,3.160437,31.268185,1,1.04206,-0.098456,0.447791,0.532506,-3.290424,-0.633917,1.741624,0.003474,0.450285,1,10,0,6.638197,2,0
2015.01.17 00:00:00,EURUSD,1.15679,1.15735,1.15526,1.1565,2803,1.15005,1.169108,1.188165,1.004531,0.169231,3.260244,31.025406,1,0.153977,-4.275862,-0.025076,0.507502,-3.311228,0.447791,1.04206,0,0.361393,0,9,1,6.614786,3,0
2015.01.19 00:00:00,EURUSD,1.15524,1.15728,1.15522,1.15614,6600,1.148574,1.16806,1.187546,1.005786,0.194138,3.336457,30.70667,1,0.372622,-0.022222,0.077845,0.484126,-3.326855,-0.025076,0.153977,-0.108949,-0.003462,0,8,2,6.585708,3,0
2015.01.19 04:00:00,EURUSD,1.15609,1.15734,1.15531,1.15562,8604,1.147241,1.166991,1.18674,1.007034,0.212137,3.384745,30.223671,1,0.484945,-0.659574,-0.040671,0.462295,-3.345165,0.077845,0.372622,-0.004325,0.007791,0,8,3,6.543674,3,0
2015.01.19 08:00:00,EURUSD,1.15566,1.15915,1.15512,1.15834,12960,1.146632,1.165982,1.185332,1.007402,0.30253,3.319052,35.903052,0,0.725167,-0.201493,0.231366,0.453117,-3.348227,-0.040671,0.484945,0.003461,-0.016446,0,8,4,6.763127,1,0
2015.01.19 12:00:00,EURUSD,1.15837,1.16273,1.15809,1.16051,9087,1.146553,1.165048,1.183544,1.010062,0.377307,3.175041,40.092434,0,0.523528,-0.130841,0.184402,0.448523,-3.343629,0.231366,0.725167,0.00259,0.257116,0,8,5,6.937467,1,0
2015.01.19 16:00:00,EURUSD,1.16053,1.16381,1.15994,1.16211,8457,1.146502,1.164368,1.182235,1.011721,0.436796,3.068928,43.048168,0,0.506142,-0.373418,0.13596,0.439699,-3.336573,0.184402,0.523528,0.001723,0.159746,0,7,6,7.065596,1,0
2015.01.19 20:00:00,EURUSD,1.16211,1.16288,1.16003,1.16084,3767,1.147087,1.163384,1.179681,1.011284,0.42195,2.801682,41.306096,0,0.242561,-0.637795,-0.109404,0.426275,-3.341589,0.13596,0.506142,0,0.007759,0,7,7,6.963923,2,0
2015.01.20 00:00:00,EURUSD,1.16081,1.16098,1.15835,1.15838,2498,1.147576,1.16236,1.177145,1.009388,0.365381,2.543842,38.090617,0,0.167395,-0.012346,-0.209776,0.412885,-3.354448,-0.109404,0.242561,-0.002584,-0.144824,0,7,8,6.766346,3,0
2015.01.20 04:00:00,EURUSD,1.1583,1.15887,1.15719,1.15764,3652,1.148213,1.161366,1.174518,1.007818,0.358373,2.26501,37.153671,0,0.248163,-0.681818,-0.057013,0.394004,-3.361732,-0.209776,0.167395,-0.006906,-0.100142,0,7,9,6.706748,3,0
