signal_index,signal_time,entry_price,session,a_open,a_high,a_low,a_close,a_bb_touch_strength,a_bb_position,a_bb_width_pct,a_rsi_value,a_rsi_divergence,a_volume_ratio,a_candle_rejection,a_candle_body_pct,a_atr_pct,a_trend_strength,a_prev_candle_body_pct,a_prev_volume_ratio,a_gap_from_prev_close,a_price_momentum,a_prev_was_selloff,a_previous_touches,a_time_since_last_touch,a_support_distance_pct,b_open,b_high,b_low,b_close,b_bb_touch_strength,b_bb_position,b_bb_width_pct,b_rsi_value,b_rsi_divergence,b_volume_ratio,b_candle_rejection,b_candle_body_pct,b_atr_pct,b_trend_strength,b_prev_candle_body_pct,b_prev_volume_ratio,b_gap_from_prev_close,b_price_momentum,b_prev_was_selloff,b_previous_touches,b_time_since_last_touch,b_support_distance_pct,c_open,c_high,c_low,c_close,c_bb_touch_strength,c_bb_position,c_bb_width_pct,c_rsi_value,c_rsi_divergence,c_volume_ratio,c_candle_rejection,c_candle_body_pct,c_atr_pct,c_trend_strength,c_prev_candle_body_pct,c_prev_volume_ratio,c_gap_from_prev_close,c_price_momentum,c_prev_was_selloff,c_previous_touches,c_time_since_last_touch,c_support_distance_pct,exit_index,final_pnl_pips,hit_tp_first,hit_sl_first,is_profitable
748,2000-06-30 16:00:00,0.9575,1,0.9522,0.9602,0.9515,0.9585,1.016945,1.113303,2.170205,71.070391,0,1.624598,-0.111111,0.657277,0.443503,0.763798,0.042004,0.622218,-0.010501,0.115741,0,0,24,0.0,0.9587,0.9594,0.9547,0.9576,1.020023,0.993089,2.301428,68.93078,0,1.64774,-2.636364,-0.114871,0.447269,0.735902,0.657277,1.624598,0.020866,0.336311,0,0,25,0.0,0.9575,0.9603,0.9523,0.9552,1.016843,0.84392,2.335106,63.445481,0,1.381486,-1.26087,-0.240787,0.476188,0.70535,-0.114871,1.64774,-0.010443,-0.251388,0,0,26,0.0,748,40.0,1,0,1
773,2000-07-06 16:00:00,0.9543,1,0.9531,0.9599,0.9523,0.9582,1.005997,1.142378,1.064866,66.971696,1,1.496742,-0.156863,0.532248,0.366787,0.471196,0.020986,0.689361,0.010493,0.031513,0,0,49,0.0,0.9581,0.9585,0.9535,0.9544,1.007303,0.758121,1.082781,56.047878,0,1.555003,-0.243243,-0.387678,0.379365,0.496071,0.532248,1.496742,-0.010436,0.126011,0,0,50,0.0,0.9543,0.9567,0.9514,0.9516,1.005049,0.483964,1.08111,49.624828,0,1.357575,-0.074074,-0.283733,0.393087,0.512243,-0.387678,1.555003,-0.010478,-0.220241,1,0,51,0.0,774,40.0,1,0,1
860,2000-07-26 16:00:00,0.9402,1,0.9409,0.945,0.9402,0.9425,1.010013,1.032844,1.201375,67.003347,0,1.49942,-0.4375,0.169761,0.354847,-1.301645,0.180716,0.688252,0.021261,0.149127,0,0,30,0.0,0.9424,0.943,0.9386,0.9398,1.008138,0.764977,1.224719,58.947994,0,1.707266,-0.461538,-0.276655,0.363889,-1.28687,0.169761,1.49942,-0.01061,-0.170177,0,0,31,0.0,0.9402,0.9436,0.9396,0.9422,1.009203,0.914178,1.303644,63.184877,0,1.406374,-0.3,0.212269,0.36736,-1.266769,-0.276655,1.707266,0.042562,0.106542,0,0,32,0.0,860,-30.0,0,1,0
1121,2000-09-22 20:00:00,0.8779,2,0.8623,0.9008,0.8617,0.8863,1.030685,1.394863,4.218422,81.866787,0,2.250122,-0.025,2.707887,0.807496,-3.224755,0.162338,1.192714,-0.011596,0.513239,0,3,11,0.0,0.8864,0.8906,0.8775,0.8778,1.051426,1.041712,4.850655,68.968775,0,1.400016,-0.034884,-0.979722,0.863676,-3.210298,2.707887,2.250122,0.011283,1.833585,0,3,12,0.0,0.8779,0.8809,0.8764,0.8769,1.051315,0.95001,5.319306,67.751628,0,0.840343,-0.5,-0.114038,0.839463,-3.165355,-0.979722,1.400016,0.011392,-0.125356,0,3,13,0.0,1121,-30.0,0,1,0
1122,2000-09-23 00:00:00,0.8768,3,0.8864,0.8906,0.8775,0.8778,1.051426,1.041712,4.850655,68.968775,0,1.400016,-0.034884,-0.979722,0.863676,-3.210298,2.707887,2.250122,0.011283,1.833585,0,3,12,0.0,0.8779,0.8809,0.8764,0.8769,1.051315,0.95001,5.319306,67.751628,0,0.840343,-0.5,-0.114038,0.839463,-3.165355,-0.979722,1.400016,0.011392,-0.125356,0,3,13,0.0,0.8768,0.8773,0.8759,0.8765,1.050718,0.888349,5.627306,67.184136,0,0.114191,-2.0,-0.034227,0.791266,-3.124872,-0.114038,0.840343,-0.011404,-0.057052,0,3,14,0.0,1123,-30.0,0,1,0
1201,2000-10-11 16:00:00,0.8722,1,0.8728,0.8768,0.8716,0.8754,1.006831,1.14589,0.974414,61.304152,0,1.677972,-0.461538,0.297007,0.381913,-0.076479,0.057287,0.758903,0.0,-0.034408,0,1,17,0.0,0.8752,0.876,0.8712,0.8723,1.006412,0.767859,0.995571,52.095254,0,1.663831,-0.37931,-0.332454,0.395199,-0.070446,0.297007,1.677972,-0.022847,-0.045893,0,1,18,0.0,0.8722,0.8742,0.8678,0.8685,1.002652,0.34425,1.000151,43.474274,0,1.496102,-0.189189,-0.426022,0.421212,-0.084571,-0.332454,1.663831,-0.011464,-0.390266,1,1,19,0.0,1201,40.0,1,0,1
1283,2000-10-30 20:00:00,0.8428,2,0.8466,0.853,0.845,0.8496,1.031351,1.072739,3.38754,72.850442,0,2.088533,-0.533333,0.353107,0.553856,-2.650895,0.661391,1.198153,-0.011811,0.595238,0,5,14,0.0,0.8496,0.8498,0.8414,0.8428,1.026734,0.799142,3.496903,58.290413,0,1.822898,-0.205882,-0.806834,0.589636,-2.643035,0.353107,2.088533,0.0,-0.426036,0,4,15,0.0,0.8428,0.8445,0.8404,0.841,1.024265,0.714647,3.437577,55.148377,0,1.216454,-0.333333,-0.214031,0.583513,-2.629489,-0.806834,1.822898,0.0,-0.11885,1,3,16,0.0,1284,10.0,0,1,1
1334,2000-11-10 04:00:00,0.8663,3,0.857,0.8676,0.8562,0.8676,1.005853,1.064831,1.79124,62.725744,0,0.950927,-0.075472,1.221761,0.656903,-0.130475,0.210035,1.286002,0.0,0.198947,0,4,6,0.0,0.8672,0.8676,0.8654,0.8664,1.016764,0.923294,1.924248,60.684529,0,0.725624,-1.25,-0.092336,0.628964,-0.064,1.221761,0.950927,-0.046104,1.074515,0,4,7,0.0,0.8663,0.8669,0.8653,0.8658,1.01689,0.859442,2.013147,59.639492,0,0.793125,-1.0,-0.05775,0.597642,0.002714,-0.092336,0.725624,-0.011542,-0.011555,0,4,8,0.0,1335,-30.0,0,1,0
1408,2000-11-28 00:00:00,0.8523,3,0.8455,0.8527,0.8439,0.8523,1.010161,1.264383,1.586195,65.873605,0,1.297984,-0.235294,0.797841,0.459747,-0.31151,0.496924,1.478261,0.035495,0.620007,0,3,12,0.0,0.8522,0.8527,0.8509,0.852,1.019582,1.102945,1.877117,65.127942,0,0.819465,-5.5,-0.023474,0.442148,-0.316432,0.797841,1.297984,-0.011733,0.829482,0,2,13,0.0,0.8523,0.8542,0.8516,0.8521,1.021207,1.022221,2.110724,65.269069,0,0.820643,-2.5,-0.023471,0.432313,-0.323084,-0.023474,0.819465,0.035211,0.082266,0,2,14,0.0,1411,-30.0,0,1,0
1413,2000-11-28 20:00:00,0.8564,2,0.8527,0.8582,0.8502,0.8565,1.021574,1.011904,2.839196,71.546563,0,1.445837,-0.657895,0.443666,0.442104,-0.329189,0.035191,1.307398,0.02346,-0.187838,0,2,17,0.0,0.8562,0.8577,0.8539,0.8562,1.026487,0.933146,3.086341,70.602005,0,1.314072,0.0,0.0,0.44237,-0.319785,0.443666,1.445837,-0.035026,0.435192,0,2,18,0.0,0.8564,0.8576,0.8552,0.8564,1.027909,0.888325,3.250452,70.878033,0,0.86632,0.0,0.0,0.430694,-0.311653,0.0,1.314072,0.023359,0.152243,0,1,19,0.0,1416,-30.0,0,1,0
1438,2000-12-04 20:00:00,0.8879,2,0.8832,0.8932,0.8828,0.8911,1.033592,1.026905,4.130358,81.373299,0,1.537745,-0.050633,0.886545,0.566715,0.528841,0.509396,1.306216,-0.02264,0.845328,0,0,42,0.0,0.8911,0.8919,0.8864,0.8878,1.03664,0.888682,4.216399,74.164126,0,1.266937,-0.424242,-0.371705,0.572442,0.602444,0.886545,1.537745,0.0,0.407793,0,0,43,0.0,0.8879,0.8899,0.8858,0.8871,1.033761,0.838346,4.121355,72.69295,0,1.010703,-1.625,-0.090181,0.564986,0.671176,-0.371705,1.266937,0.011264,-0.06769,0,0,44,0.0,1439,10.0,0,1,1
1514,2000-12-21 04:00:00,0.9079,3,0.9073,0.91,0.9056,0.9098,1.021406,1.13744,2.272319,73.587997,0,0.790987,-0.68,0.274786,0.518456,2.20499,0.220434,1.127605,0.0,0.143758,0,1,6,0.0,0.9095,0.9098,0.9071,0.9079,1.023532,0.965009,2.500423,69.258411,0,0.830794,-0.5,-0.176231,0.503673,2.225631,0.274786,0.790987,-0.032974,0.165636,0,1,7,0.0,0.9079,0.9095,0.9066,0.9089,1.023377,0.940358,2.724422,70.250499,0,0.810298,-1.3,0.110023,0.489972,2.252723,-0.176231,0.830794,0.0,-0.055121,0,1,8,0.0,1515,-30.0,0,1,0
1517,2000-12-21 16:00:00,0.915,1,0.909,0.9164,0.9059,0.9154,1.023757,1.070034,3.172435,75.73258,0,1.270011,-0.484375,0.699148,0.533675,2.276764,0.110023,0.810298,0.011002,-0.077212,0,1,9,0.0,0.9153,0.9163,0.9128,0.9152,1.032433,0.979048,3.526693,75.272953,0,1.456755,-24.0,-0.010927,0.52298,2.315177,0.699148,1.270011,-0.010924,0.761673,0,1,10,0.0,0.915,0.9171,0.9108,0.9133,1.030409,0.871827,3.741072,70.872385,0,1.14329,-1.470588,-0.186138,0.535906,2.366528,-0.010927,1.456755,-0.021853,-0.219106,0,1,11,0.0,1517,40.0,1,0,1
1542,2000-12-27 16:00:00,0.9311,1,0.932,0.934,0.9273,0.9338,1.009846,1.001846,1.675212,76.972868,1,1.99145,-2.611111,0.192761,0.417732,3.6503,0.107285,1.117844,-0.010728,-0.386723,0,0,34,0.0,0.9337,0.9339,0.9287,0.931,1.010361,0.796894,1.601235,68.14341,0,2.10265,-0.851852,-0.290011,0.428956,3.697583,0.192761,1.99145,-0.010709,0.150976,0,0,35,0.0,0.9311,0.9323,0.9296,0.9319,1.01105,0.820838,1.637378,69.360027,0,1.732098,-1.875,0.085846,0.418626,3.729263,-0.290011,2.10265,0.010741,0.09691,0,0,36,0.0,1543,0.0,0,1,0
1558,2001-01-01 08:00:00,0.9422,1,0.9421,0.943,0.9418,0.9424,1.020017,1.118899,1.830185,75.934442,0,0.070715,-1.0,0.031834,0.426489,4.260664,0.307758,0.689683,-0.021225,0.383713,0,0,50,0.0,0.9421,0.9423,0.9419,0.9419,1.02065,0.996534,2.050884,74.426139,0,0.004313,0.0,-0.021234,0.400028,4.31325,0.031834,0.070715,-0.031834,0.010618,0,0,51,0.0,0.9422,0.9424,0.9422,0.9424,1.021382,0.950195,2.247545,74.961737,0,0.001789,0.0,0.021222,0.375047,4.359614,-0.021234,0.004313,0.031851,0.031851,0,0,52,0.0,1559,-3.0,0,0,0
1611,2001-01-12 00:00:00,0.9525,3,0.9515,0.9553,0.9488,0.9533,1.014214,1.077038,1.750865,62.466605,0,1.092377,-1.5,0.188818,0.553732,3.882776,0.756461,1.37661,-0.031519,0.487185,0,3,12,0.0,0.9532,0.9552,0.9514,0.9523,1.017424,0.971009,1.875787,60.658075,0,0.745857,-1.0,-0.094508,0.543222,3.861336,0.188818,1.092377,-0.01049,0.27403,0,3,13,0.0,0.9525,0.9528,0.9507,0.9511,1.016891,0.882224,1.94401,58.470415,0,0.845566,-0.285714,-0.147198,0.520828,3.836032,-0.094508,0.745857,0.021002,-0.073576,0,3,14,0.0,1612,0.0,0,1,0
