combo_index,min_rsi_a,overextension_mode,min_bb_position_a,max_bars_in_trade,follow_through_bars,min_follow_through_pips,total_trades,wins,losses,win_rate_pct,net_pips,avg_pips_per_trade,profit_factor,max_drawdown_pips,expectancy_pips
34,55.0,high_above_ubb,85.0,10,2,3.0,1475,700,775,47.46,1817.0,1.23,1.112,1373.5,1.23
43,55.0,high_above_ubb,90.0,10,2,3.0,1475,700,775,47.46,1817.0,1.23,1.112,1373.5,1.23
52,55.0,high_above_ubb,95.0,10,2,3.0,1475,700,775,47.46,1817.0,1.23,1.112,1373.5,1.23
1,55.0,touch_only,85.0,6,2,3.0,1477,700,777,47.39,1767.4,1.2,1.11,1364.4,1.2
10,55.0,touch_only,90.0,6,2,3.0,1477,700,777,47.39,1767.4,1.2,1.11,1364.4,1.2
19,55.0,touch_only,95.0,6,2,3.0,1477,700,777,47.39,1767.4,1.2,1.11,1364.4,1.2
28,55.0,high_above_ubb,85.0,6,2,3.0,1477,700,777,47.39,1767.4,1.2,1.11,1364.4,1.2
37,55.0,high_above_ubb,90.0,6,2,3.0,1477,700,777,47.39,1767.4,1.2,1.11,1364.4,1.2
46,55.0,high_above_ubb,95.0,6,2,3.0,1477,700,777,47.39,1767.4,1.2,1.11,1364.4,1.2
5,55.0,touch_only,85.0,8,2,5.0,1486,698,788,46.97,1728.5,1.16,1.109,1424.8,1.16
14,55.0,touch_only,90.0,8,2,5.0,1486,698,788,46.97,1728.5,1.16,1.109,1424.8,1.16
23,55.0,touch_only,95.0,8,2,5.0,1486,698,788,46.97,1728.5,1.16,1.109,1424.8,1.16
32,55.0,high_above_ubb,85.0,8,2,5.0,1486,698,788,46.97,1728.5,1.16,1.109,1424.8,1.16
41,55.0,high_above_ubb,90.0,8,2,5.0,1486,698,788,46.97,1728.5,1.16,1.109,1424.8,1.16
50,55.0,high_above_ubb,95.0,8,2,5.0,1486,698,788,46.97,1728.5,1.16,1.109,1424.8,1.16
8,55.0,touch_only,85.0,10,2,5.0,1486,696,790,46.84,1713.5,1.15,1.108,1425.0,1.15
17,55.0,touch_only,90.0,10,2,5.0,1486,696,790,46.84,1713.5,1.15,1.108,1425.0,1.15
26,55.0,touch_only,95.0,10,2,5.0,1486,696,790,46.84,1713.5,1.15,1.108,1425.0,1.15
35,55.0,high_above_ubb,85.0,10,2,5.0,1486,696,790,46.84,1713.5,1.15,1.108,1425.0,1.15
44,55.0,high_above_ubb,90.0,10,2,5.0,1486,696,790,46.84,1713.5,1.15,1.108,1425.0,1.15
