timestamp,pair,open,high,low,close,volume,lower_band,middle_band,upper_band,bb_touch_strength,bb_position,bb_width_pct,rsi_value,rsi_divergence,volume_ratio,candle_rejection,candle_body_pct,atr_pct,trend_strength,prev_candle_body_pct,prev_volume_ratio,gap_from_prev_close,price_momentum,prev_was_selloff,previous_touches,time_since_last_touch,support_distance_pct,session,success_factor
2017.01.14 00:00:00,GBPUSD,1.21869,1.21989,1.21687,1.21713,1799,1.209839,1.218349,1.226859,1.005812,0.428378,1.396971,46.151536,0,0.073099,-0.166667,-0.12817,0.478695,-1.41086,-0.089441,0.71001,0.000821,-0.091135,0,1,14,11.266668,3,1
2017.01.16 00:00:00,GBPUSD,1.19905,1.2054,1.19903,1.20479,10758,1.207392,1.217749,1.228105,0.993075,-0.125593,1.701005,33.482374,0,0.44073,-0.003484,0.476432,0.556365,-1.437184,-0.12817,0.073099,-1.485462,-1.466056,0,2,0,10.357822,3,1
2017.01.16 04:00:00,GBPUSD,1.20479,1.20516,1.20146,1.20309,19446,1.204837,1.217003,1.229168,0.997197,-0.071797,1.999271,32.172108,0,0.780317,-0.958824,-0.141303,0.539322,-1.454264,0.476432,0.44073,0,0.202664,0,3,0,10.231155,3,1
2017.01.16 08:00:00,GBPUSD,1.2031,1.20764,1.19864,1.20367,33027,1.202906,1.21639,1.229874,0.996454,0.028329,2.217049,33.133533,0,1.283654,-7.824561,0.047355,0.553966,-1.470249,-0.141303,0.780317,0.000831,-0.234714,0,4,0,10.274411,1,1
2017.01.16 12:00:00,GBPUSD,1.20367,1.20837,1.20291,1.20624,33520,1.201741,1.215932,1.230123,1.000973,0.158518,2.334192,37.369777,0,1.270855,-0.29572,0.213059,0.545633,-1.484622,0.047355,1.283654,0,0.356237,0,4,1,10.465579,1,1
2017.01.16 16:00:00,GBPUSD,1.20623,1.2085,1.20419,1.20423,26945,1.200578,1.215562,1.230546,1.003009,0.121868,2.46539,35.47672,0,1.019501,-0.02,-0.166081,0.533069,-1.508806,0.213059,1.270855,-0.000829,0.106409,0,4,2,10.316136,1,1
2017.01.16 20:00:00,GBPUSD,1.20423,1.20715,1.20387,1.20419,14221,1.199508,1.215203,1.230899,1.003636,0.149148,2.583167,35.438247,0,0.570184,-8,-0.003322,0.514465,-1.530709,-0.166081,1.019501,0,-0.026574,0,3,3,10.313157,2,1
2017.01.17 00:00:00,GBPUSD,1.20421,1.2062,1.20164,1.2046,16637,1.198252,1.214431,1.230611,1.002827,0.19617,2.664502,36.201971,0,0.720733,-6.589744,0.032376,0.504594,-1.557405,-0.003322,0.570184,0.001661,-0.185236,0,3,4,10.343683,3,1
2017.01.17 04:00:00,GBPUSD,1.2046,1.20797,1.20413,1.20759,20408,1.197556,1.213906,1.230257,1.00549,0.306845,2.693925,41.625206,0,0.876587,-0.157191,0.247601,0.490105,-1.57505,0.032376,0.720733,0,0.207217,0,3,5,10.565672,3,1
2017.01.17 08:00:00,GBPUSD,1.20761,1.21384,1.20761,1.21196,31053,1.197398,1.213476,1.229554,1.008528,0.452853,2.64983,48.513889,0,1.321379,0,0.358923,0.490292,-1.575873,0.247601,0.876587,0.001656,0.289005,0,3,6,10.888148,1,1
