timestamp,pair,open,high,low,close,volume,lower_band,middle_band,upper_band,bb_touch_strength,bb_position,bb_width_pct,rsi_value,rsi_divergence,volume_ratio,candle_rejection,candle_body_pct,atr_pct,trend_strength,prev_candle_body_pct,prev_volume_ratio,gap_from_prev_close,price_momentum,prev_was_selloff,previous_touches,time_since_last_touch,support_distance_pct,session,label
2010.01.04 04:00:00,EURUSD,1.42702,1.43082,1.427,1.43004,4820,1.427499,1.435459,1.443419,0.99965,0.159605,1.109036,42.64957,0,0.851846,-0.006623,0.211183,0.340392,-2.674964,-0.388213,0.910127,-0.002102,0.091885,0,5,0,24.477637,3,1
2010.01.08 08:00:00,EURUSD,1.42931,1.43344,1.42927,1.43221,7484,1.427894,1.437024,1.446154,1.000964,0.236369,1.270706,43.606112,1,1.011092,-0.013793,0.202484,0.328341,-1.966712,-0.134335,0.605179,0.003498,0.039196,0,4,3,24.592064,1,1
2010.02.01 04:00:00,EURUSD,1.38645,1.38832,1.38521,1.38787,5575,1.384252,1.39776,1.411268,1.000692,0.133909,1.932747,30.389903,0,0.657084,-0.873239,0.102315,0.345847,-1.866,0.015146,0.591729,-0.002164,-0.019488,0,10,2,22.182913,3,1
2010.02.05 20:00:00,EURUSD,1.3631,1.36784,1.35854,1.36776,8873,1.359431,1.383151,1.406871,0.999344,0.175566,3.429818,33.021574,1,1.093812,-0.978541,0.340703,0.440011,-2.323544,-0.716738,1.878383,-0.001467,-0.075759,1,9,0,21.038779,2,1
2010.02.12 16:00:00,EURUSD,1.35899,1.36428,1.35506,1.36306,13150,1.358912,1.371807,1.384702,0.997165,0.160826,1.879939,40.181208,0,1.49658,-0.965602,0.298593,0.459741,-2.806083,0.156735,1.345905,0.000736,0.144112,0,4,0,20.766511,1,1
2010.02.19 04:00:00,EURUSD,1.34714,1.35084,1.3459,1.34729,6002,1.344889,1.363376,1.381862,1.000752,0.064948,2.711928,28.867111,0,0.747722,-8.266667,0.011133,0.440782,-2.782185,-0.406033,1.339948,-0.002969,0.116787,0,1,1,19.839084,3,1
2010.02.25 08:00:00,EURUSD,1.34647,1.3498,1.3458,1.34888,9182,1.346037,1.356004,1.365972,0.999824,0.14263,1.470196,38.770141,0,1.232152,-0.278008,0.178667,0.378077,-2.563553,-0.24583,0.892949,0.000743,0.056504,0,2,0,19.933575,1,1
2010.03.09 16:00:00,EURUSD,1.3551,1.36038,1.3543,1.36038,7468,1.354051,1.361621,1.369191,1.000184,0.418034,1.111947,48.103199,0,1.1918,-0.151515,0.388127,0.362987,-1.015227,-0.323219,1.116136,-0.001476,0.044323,0,1,1,20.610418,1,1
2010.03.25 00:00:00,EURUSD,1.33229,1.33463,1.33142,1.33338,3705,1.33119,1.346998,1.362806,1.000173,0.069266,2.34713,20.992724,0,0.580375,-0.798165,0.081747,0.357753,-0.144149,-0.159881,0.755323,0.003753,0.069147,0,6,1,19.002835,3,1
2010.04.08 12:00:00,EURUSD,1.32967,1.33278,1.32851,1.33266,8226,1.327144,1.33917,1.351197,1.00103,0.229335,1.796166,36.511105,1,1.441489,-0.38796,0.224363,0.30877,-0.736403,-0.232392,1.543794,0.001504,0.022587,0,5,11,18.959074,1,1
2010.05.07 04:00:00,EURUSD,1.2613,1.27355,1.26056,1.26949,10602,1.254897,1.289531,1.324164,1.004513,0.210681,5.371556,29.745411,1,1.067776,-0.090354,0.645141,0.667817,-2.050107,-0.049156,1.072568,0.000793,0.155729,0,9,2,14.926467,3,1
2010.05.19 04:00:00,EURUSD,1.21647,1.22237,1.21528,1.21902,9209,1.21583,1.235036,1.254242,0.999548,0.083047,3.110197,32.368444,0,0.627419,-0.466667,0.209184,0.694004,-4.817444,-0.306632,0.630078,0.002466,0.076584,0,9,0,11.404243,3,1
