feature,importance
ret_lag1,0.12244463928035063
rsi_slope_lag1,0.10769960285738046
ret_lag3,0.10646989875512164
close_pos_in_candle_lag2,0.08051864797393032
rsi_slope_lag2,0.06368169697454402
ret_lag2,0.04734601031136204
close_pos_in_candle_lag1,0.043179086219804166
dist_bb_upper_lag3,0.03481175767260779
price_slope_3,0.03067509373070842
body_vs_bb_lag2,0.027593480893212285
body_size_lag2,0.026277070051222318
body_vs_bb_lag3,0.022566453554597243
bb_position_lag2,0.021933599464439665
volume_lag2,0.019934957196990306
rsi_value_lag1,0.018518944136485718
rsi_value_lag2,0.01841766188728386
wick_ratio_lag3,0.018201303818059646
dist_bb_upper_lag1,0.017532762101001576
candle_vs_bb_lag1,0.017161819422062772
volume_lag3,0.016964520435144712
body_vs_bb_lag1,0.016723147558712178
dist_bb_upper_lag2,0.016503064936663932
ema_50_slope_lag2,0.015917857281766753
wick_ratio_lag1,0.015175600073297574
ema_50_slope_lag3,0.01510367015912695
atr_norm_lag3,0.014755893825070266
volume_lag1,0.012887654478899729
lower_wick_lag2,0.011859192226968294
bb_width_pct_lag2,0.009895233176235729
bb_width_pct_lag1,0.009249679546948808
