timestamp,pair,open,high,low,close,volume,lower_band,middle_band,upper_band,bb_touch_strength,bb_position,bb_width_pct,rsi_value,rsi_divergence,volume_ratio,candle_rejection,candle_body_pct,atr_pct,trend_strength,prev_candle_body_pct,prev_volume_ratio,gap_from_prev_close,price_momentum,prev_was_selloff,previous_touches,time_since_last_touch,support_distance_pct,session
2024.01.19 00:00:00,GBPUSD,1.270410,1.271220,1.270010,1.270710,9859,1.260900,1.266855,1.272810,1.007225,0.823653,0.940194,54.467458,0,0.401918,-1.333333,0.023609,0.279944,0.288618,0.192041,0.730618,-0.011806,0.184591,0,7,10,15.008145,3
2024.01.19 04:00:00,GBPUSD,1.270680,1.271460,1.269630,1.269890,9467,1.261173,1.266723,1.272273,1.006705,0.785333,0.876224,52.539916,0,0.380927,-0.329114,-0.062210,0.270409,0.278146,0.023609,0.401918,-0.002361,-0.029921,0,7,11,14.953264,3
2024.01.19 08:00:00,GBPUSD,1.269890,1.270080,1.266090,1.268390,27213,1.261209,1.266667,1.272125,1.003870,0.657845,0.861771,49.115788,0,1.064278,-1.533333,-0.118260,0.273861,0.265234,-0.062210,0.380927,0.000000,-0.278821,0,6,12,14.852687,1
2024.01.19 12:00:00,GBPUSD,1.268390,1.269080,1.267010,1.267410,27233,1.261203,1.266634,1.272066,1.004605,0.571383,0.857706,46.962362,0,1.038698,-0.408163,-0.077323,0.266162,0.253280,-0.118260,1.064278,0.000000,0.072665,0,5,13,14.786849,1
2024.01.19 16:00:00,GBPUSD,1.267400,1.268850,1.266130,1.268790,38201,1.261495,1.266871,1.272246,1.003674,0.678536,0.848652,50.268908,0,1.440808,-0.913669,0.109553,0.262194,0.244895,-0.077323,1.038698,-0.000789,-0.069455,0,4,14,14.879531,1
2024.01.19 20:00:00,GBPUSD,1.268790,1.270520,1.268230,1.270190,14565,1.261748,1.267167,1.272587,1.005138,0.778834,0.855435,53.440193,0,0.569954,-0.400000,0.110220,0.256076,0.238102,0.109553,1.440808,0.000000,0.165860,0,3,15,14.973350,2
2024.01.22 00:00:00,GBPUSD,1.267700,1.271310,1.267700,1.270880,10041,1.262388,1.267588,1.272787,1.004208,0.816635,0.820330,54.964485,1,0.431146,0.000000,0.250220,0.257945,0.237166,0.110220,0.569954,-0.196034,-0.041791,0,2,16,15.019514,3
2024.01.22 04:00:00,GBPUSD,1.270880,1.271940,1.270720,1.271890,11112,1.262832,1.268005,1.273178,1.006246,0.875505,0.815934,57.174602,0,0.485994,-0.158416,0.079409,0.246182,0.238106,0.250220,0.431146,0.000000,0.238227,0,1,17,15.086997,3
2024.01.22 08:00:00,GBPUSD,1.271890,1.272460,1.268690,1.270440,24321,1.263499,1.268349,1.273199,1.004108,0.715573,0.764753,53.142483,0,1.031484,-1.206897,-0.114134,0.250054,0.236202,0.079409,0.485994,0.000000,-0.159752,0,1,18,14.990082,1
2024.01.22 12:00:00,GBPUSD,1.270440,1.273180,1.269820,1.272670,24463,1.265048,1.268932,1.272817,1.003772,0.981036,0.612301,58.043144,0,1.013548,-0.278027,0.175222,0.250644,0.237780,-0.114134,1.031484,0.000000,0.089068,0,1,19,15.139038,1
2024.01.22 16:00:00,GBPUSD,1.272670,1.273280,1.270860,1.272120,28377,1.265039,1.269137,1.273235,1.004601,0.863955,0.645798,56.474339,0,1.196877,-2.290909,-0.043235,0.246430,0.235328,0.175222,1.013548,0.000000,0.081901,0,0,20,15.102349,1
