feature,importance
ret_lag1,0.12834904068272132
rsi_slope_lag1,0.10221064084732458
ret_lag3,0.1014788367675209
close_pos_in_candle_lag2,0.08195487311278411
rsi_slope_lag2,0.07000259659838429
ret_lag2,0.05479059428229171
close_pos_in_candle_lag1,0.039892329107693775
dist_bb_upper_lag3,0.03641232078551513
body_size_lag2,0.029749448476392236
price_slope_3,0.02865564640459285
body_vs_bb_lag2,0.024541015882401682
rsi_value_lag1,0.021095818351575993
bb_position_lag2,0.020239139377441547
dist_bb_upper_lag1,0.020024385733913398
volume_lag2,0.019373473109575007
dist_bb_upper_lag2,0.018852796374104464
body_vs_bb_lag3,0.017493253430827103
rsi_value_lag2,0.01702966548382185
candle_vs_bb_lag1,0.016628751420506797
volume_lag3,0.015987273800970175
wick_ratio_lag3,0.015608796682201363
body_vs_bb_lag1,0.015575998479937342
ema_50_slope_lag2,0.014619719591915081
wick_ratio_lag1,0.01402689075558916
ema_50_slope_lag3,0.013804714270993328
atr_norm_lag3,0.01380441692915517
volume_lag1,0.013778059490797056
bb_width_pct_lag2,0.011849882172047138
lower_wick_lag2,0.011474912148516335
bb_width_pct_lag1,0.010694709448489043
