timestamp,close,bb_position,rsi_value,label
2009-02-04 04:00:00,1.3026,0.985405,57.837795,0
2009-02-04 08:00:00,1.2947,0.749899,51.105778,1
2009-02-16 16:00:00,1.2771,0.133452,41.032471,0
2009-02-16 20:00:00,1.2799,0.276651,44.43547,0
2009-02-17 00:00:00,1.2667,-0.153887,34.366504,1
2009-02-23 08:00:00,1.2873,0.930871,63.731081,0
2009-02-23 12:00:00,1.2819,0.784891,58.050511,1
2009-03-19 20:00:00,1.3667,0.94456,83.5806,0
2009-03-20 00:00:00,1.3616,0.852218,77.867879,1
2009-03-27 04:00:00,1.35781,0.605989,55.826853,0
2009-03-27 08:00:00,1.34633,0.131873,43.885702,1
2009-04-03 00:00:00,1.34587,0.960785,62.381979,0
2009-04-03 04:00:00,1.34276,0.838692,58.783828,1
2009-04-06 20:00:00,1.34156,0.509771,50.775579,0
2009-04-07 00:00:00,1.33417,0.292127,44.771656,1
2009-04-14 00:00:00,1.33256,0.834709,57.271153,0
2009-04-14 04:00:00,1.33456,0.869789,58.917459,1
2009-04-16 00:00:00,1.32646,0.541283,51.605535,0
2009-04-16 04:00:00,1.32007,0.270899,45.084959,1
2009-04-24 20:00:00,1.32413,0.891093,69.19429,0
2009-04-27 00:00:00,1.31956,0.76439,61.751079,1
2009-05-15 04:00:00,1.36378,0.606236,57.502012,0
2009-05-15 08:00:00,1.35556,0.101851,46.990814,1
2009-05-22 20:00:00,1.39974,0.858533,74.239059,0
2009-05-25 00:00:00,1.40057,0.838892,74.720837,1
2009-05-27 08:00:00,1.39664,0.420998,58.212079,0
2009-05-27 12:00:00,1.39423,0.212123,54.260025,1
2009-06-05 08:00:00,1.41848,0.428093,53.44365,0
2009-06-05 12:00:00,1.41084,0.126188,44.261363,1
2009-06-05 16:00:00,1.40182,-0.127021,36.325949,1
2009-06-11 20:00:00,1.41072,0.827286,56.520755,0
2009-06-12 00:00:00,1.41058,0.795003,56.368551,1
2009-06-15 04:00:00,1.39462,0.053102,41.394531,0
2009-06-15 08:00:00,1.38785,-0.109271,36.234211,1
2009-06-19 16:00:00,1.39623,0.87017,55.481436,0
2009-06-19 20:00:00,1.39372,0.698779,52.065221,1
2009-06-24 08:00:00,1.40956,0.916155,67.22525,0
2009-06-24 12:00:00,1.40767,0.826271,64.103413,1
2009-06-24 16:00:00,1.39854,0.570495,51.63027,1
2009-07-01 16:00:00,1.41607,1.070344,65.463814,0
2009-07-01 20:00:00,1.41406,0.892847,61.805973,1
2009-07-02 00:00:00,1.41273,0.792071,59.439305,1
