timestamp,pair,open,high,low,close,volume,lower_band,middle_band,upper_band,bb_touch_strength,bb_position,bb_width_pct,rsi_value,rsi_divergence,volume_ratio,candle_rejection,candle_body_pct,atr_pct,trend_strength,prev_candle_body_pct,prev_volume_ratio,gap_from_prev_close,price_momentum,prev_was_selloff,previous_touches,time_since_last_touch,support_distance_pct,session,ret,dist_bb_upper,bb_upper_touch,bb_mid_rejection,rsi_slope,rsi_overbought,body_size,upper_wick,lower_wick,wick_ratio,close_pos_in_candle,upper_rejection,lower_high,atr_norm,ema_50,ema_50_slope,price_below_ema50,candle_vs_bb,body_vs_bb,close_lag1,close_lag2,close_lag3,open_lag1,open_lag2,open_lag3,high_lag1,high_lag2,high_lag3,low_lag1,low_lag2,low_lag3,volume_lag1,volume_lag2,volume_lag3,ret_lag1,ret_lag2,ret_lag3,bb_position_lag1,bb_position_lag2,bb_position_lag3,bb_width_pct_lag1,bb_width_pct_lag2,bb_width_pct_lag3,dist_bb_upper_lag1,dist_bb_upper_lag2,dist_bb_upper_lag3,bb_upper_touch_lag1,bb_upper_touch_lag2,bb_upper_touch_lag3,bb_mid_rejection_lag1,bb_mid_rejection_lag2,bb_mid_rejection_lag3,rsi_value_lag1,rsi_value_lag2,rsi_value_lag3,rsi_slope_lag1,rsi_slope_lag2,rsi_slope_lag3,rsi_overbought_lag1,rsi_overbought_lag2,rsi_overbought_lag3,body_size_lag1,body_size_lag2,body_size_lag3,upper_wick_lag1,upper_wick_lag2,upper_wick_lag3,lower_wick_lag1,lower_wick_lag2,lower_wick_lag3,wick_ratio_lag1,wick_ratio_lag2,wick_ratio_lag3,close_pos_in_candle_lag1,close_pos_in_candle_lag2,close_pos_in_candle_lag3,upper_rejection_lag1,upper_rejection_lag2,upper_rejection_lag3,lower_high_lag1,lower_high_lag2,lower_high_lag3,atr_norm_lag1,atr_norm_lag2,atr_norm_lag3,ema_50_slope_lag1,ema_50_slope_lag2,ema_50_slope_lag3,price_below_ema50_lag1,price_below_ema50_lag2,price_below_ema50_lag3,candle_vs_bb_lag1,candle_vs_bb_lag2,candle_vs_bb_lag3,body_vs_bb_lag1,body_vs_bb_lag2,body_vs_bb_lag3,RSI_slope_3,price_slope_3,upper_rejection_score,reversal_signal,prediction_probability,prediction_binary,signal_strength,model_prediction,model_confidence,signal_strength_value,model_signal_raw,model_signal
2024.01.19 20:00:00,GBPUSD,1.26879,1.27052,1.26823,1.27019,14565,1.261748,1.267167,1.272587,1.005138,0.778834,0.855435,53.440193,0,0.569954,-0.4,0.11022,0.256076,0.238102,0.109553,1.440808,0.0,0.16586,0,3,15,14.97335,2,0.001103413,0.002397,0,0,3.171285,0,0.0014,0.00033,0.00056,0.235714286,0.855895197,0,0,0.00256076,1.270389713,-8.15e-06,1,0.211274103,0.129163207,1.26879,1.26741,1.26839,1.2674,1.26839,1.26989,1.26885,1.26908,1.27008,1.26613,1.26701,1.26609,38201,27233,27213,0.001088835,-0.000772633,-0.001181205,0.678536,0.571383,0.657845,0.848652,0.857706,0.861771,0.003456,0.004656,0.003735,0,0,0,0,0,0,50.268908,46.962362,49.115788,3.306546,-2.153426,-3.424128,0,0,0,0.00139,0.00098,0.0015,6e-05,0.00069,0.00019,0.00127,0.0004,0.0023,0.043165468,0.704081633,0.126666667,0.977941176,0.193236715,0.576441103,0,0,0,1,1,1,0.00262194,0.00266162,0.00273861,-6.56e-05,-0.000124632,-8.97e-05,1,1,1,0.252999721,0.190555095,0.365518505,0.129290299,0.09021449,0.137412972,1.15312,0.0004,0.0,0,0.648558453,1,Very Weak,0,0.0710641676863726,,0,0
2024.01.22 00:00:00,GBPUSD,1.2677,1.27131,1.2677,1.27088,10041,1.262388,1.267588,1.272787,1.004208,0.816635,0.82033,54.964485,1,0.431146,0.0,0.25022,0.257945,0.237166,0.11022,0.569954,-0.196034,-0.041791,0,2,16,15.019514,3,0.000543226,0.001907,0,0,1.524292,0,0.00318,0.00043,0.0,0.135220126,0.880886427,0,0,0.00257945,1.27040894,1.92e-05,0,0.347148764,0.305798634,1.27019,1.26879,1.26741,1.26879,1.2674,1.26839,1.27052,1.26885,1.26908,1.26823,1.26613,1.26701,14565,38201,27233,0.001103413,0.001088835,-0.000772633,0.778834,0.678536,0.571383,0.855435,0.848652,0.857706,0.002397,0.003456,0.004656,0,0,0,0,0,0,53.440193,50.268908,46.962362,3.171285,3.306546,-2.153426,0,0,0,0.0014,0.00139,0.00098,0.00033,6e-05,0.00069,0.00056,0.00127,0.0004,0.235714286,0.043165468,0.704081633,0.855895197,0.977941176,0.193236715,0,0,0,0,1,1,0.00256076,0.00262194,0.00266162,-8.15e-06,-6.56e-05,-0.000124632,1,1,1,0.211274103,0.252999721,0.190555095,0.129163207,0.129290299,0.09021449,6.477831,0.00278,0.0,0,0.742355794,1,Very Weak,0,0.1407934402929693,,0,0
2024.01.22 04:00:00,GBPUSD,1.27088,1.27194,1.27072,1.27189,11112,1.262832,1.268005,1.273178,1.006246,0.875505,0.815934,57.174602,0,0.485994,-0.158416,0.079409,0.246182,0.238106,0.25022,0.431146,0.0,0.238227,0,1,17,15.086997,3,0.000794725,0.001288,0,0,2.210117,0,0.00101,5e-05,0.00016,0.04950495,0.959016393,0,0,0.00246182,1.270467021,5.81e-05,0,0.117919969,0.097622269,1.27088,1.27019,1.26879,1.2677,1.26879,1.2674,1.27131,1.27052,1.26885,1.2677,1.26823,1.26613,10041,14565,38201,0.000543226,0.001103413,0.001088835,0.816635,0.778834,0.678536,0.82033,0.855435,0.848652,0.001907,0.002397,0.003456,0,0,0,0,0,0,54.964485,53.440193,50.268908,1.524292,3.171285,3.306546,0,0,0,0.00318,0.0014,0.00139,0.00043,0.00033,6e-05,0.0,0.00056,0.00127,0.135220126,0.235714286,0.043165468,0.880886427,0.855895197,0.977941176,0,0,0,0,0,1,0.00257945,0.00256076,0.00262194,1.92e-05,-8.15e-06,-6.56e-05,0,1,1,0.347148764,0.211274103,0.252999721,0.305798634,0.129163207,0.129290299,4.695577,0.00209,0.0,0,0.558869427,1,Very Weak,0,0.09665264707770342,,0,0
2024.01.22 20:00:00,GBPUSD,1.27212,1.27216,1.26977,1.27087,14835,1.265727,1.269429,1.27313,1.003194,0.694744,0.5831,52.970196,0,0.651847,-0.88,-0.098358,0.242486,0.231078,-0.043235,1.196877,0.0,-0.085769,0,0,21,15.018845,2,-0.000982612,0.00226,0,0,-3.504143,0,0.00125,4e-05,0.0011,0.032,0.460251046,0,1,0.00242486,1.270623913,1e-05,0,0.322842091,0.168850466,1.27212,1.27267,1.27044,1.27267,1.27044,1.27189,1.27328,1.27318,1.27246,1.27086,1.26982,1.26869,28377,24463,24321,-0.000432162,0.001755297,-0.001140036,0.863955,0.981036,0.715573,0.645798,0.612301,0.764753,0.001115,0.000147,0.002759,1,1,0,0,0,0,56.474339,58.043144,53.142483,-1.568805,4.900661,-4.032119,0,0,0,0.00055,0.00223,0.00145,0.00061,0.00051,0.00057,0.00126,0.00062,0.00175,1.109090909,0.228699552,0.393103448,0.520661157,0.848214286,0.464190981,0,0,0,0,0,0,0.0024643,0.00250644,0.00250054,6.15e-05,8.64e-05,-1.06e-06,0,0,1,0.295265983,0.432488094,0.388659794,0.067105905,0.287038229,0.149484536,3.331856,0.00168,1.109090909,0,0.783734261,1,Very Strong,1,0.9404150802129051,4.0,1,1
2024.01.23 08:00:00,GBPUSD,1.27373,1.27471,1.27201,1.27283,26069,1.265925,1.270145,1.274364,1.004807,0.818202,0.66446,56.718138,0,1.21024,-0.911111,-0.070709,0.232126,0.211293,0.130326,0.824117,0.0,0.036176,0,0,24,15.149706,1,-0.000706586,0.001534,1,0,-2.728905,0,0.0009,0.00098,0.00082,1.088888889,0.303703704,1,0,0.00232126,1.270879805,7.96e-05,0,0.319943121,0.106647707,1.27373,1.27207,1.27087,1.27207,1.27017,1.27212,1.27388,1.27215,1.27216,1.27155,1.26988,1.26977,17183,8159,14835,0.00130496,0.000944235,-0.000982612,0.965255,0.82009,0.694744,0.640095,0.597811,0.5831,0.000282,0.001366,0.00226,0,0,0,0,0,0,59.447043,55.805225,52.970196,3.641818,2.835029,-3.504143,0,0,0,0.00166,0.0019,0.00125,0.00015,8e-05,4e-05,0.00052,0.00029,0.0011,0.090361446,0.042105263,0.032,0.935622318,0.964757709,0.460251046,0,0,0,0,1,1,0.00233499,0.00237699,0.00242486,0.000119583,5.67e-05,1e-05,0,0,0,0.286663386,0.299038335,0.322842091,0.204232283,0.250296404,0.168850466,6.476847,0.00286,0.0,0,0.792872028,1,Very Strong,1,0.9247098861012217,4.0,1,1
2024.01.24 04:00:00,GBPUSD,1.26923,1.27043,1.26856,1.27021,10469,1.266563,1.270376,1.27419,1.001577,0.47817,0.600379,50.616984,0,0.544229,-0.683673,0.077153,0.241321,0.158623,0.159152,0.63142,0.0,0.123916,0,2,2,14.974689,3,0.000772122,0.00398,0,1,2.190173,0,0.00098,0.00022,0.00067,0.224489796,0.882352941,0,0,0.00241321,1.270529851,-1.31e-05,1,0.245181592,0.128490888,1.26923,1.26862,1.26577,1.26721,1.26577,1.27082,1.26978,1.26917,1.27082,1.26699,1.26568,1.26491,12392,13861,32270,0.000480837,0.002251594,-0.003973812,0.347386,0.280285,0.005493,0.60037,0.615701,0.700437,0.004978,0.005629,0.008848,0,0,0,0,0,1,48.426811,47.069992,40.250315,1.356819,6.819677,-10.82838,0,0,0,0.00202,0.00285,0.00505,0.00055,0.00055,0.0,0.00022,9e-05,0.00086,0.272277228,0.192982456,0.0,0.802867384,0.842406877,0.145516074,0,0,0,0,1,1,0.00248752,0.00251098,0.00249813,-5.36e-05,-8.07e-05,-0.000200293,1,1,1,0.365757735,0.446234497,0.664268855,0.264813844,0.364403529,0.567607059,8.176496,0.00346,0.0,0,0.90689565,1,Weak,0,0.4344810010681637,1.0,0,0
2024.01.24 16:00:00,GBPUSD,1.27667,1.27749,1.27199,1.27479,42228,1.265911,1.271322,1.276733,1.004802,0.820458,0.851241,57.581115,0,1.929973,-1.489362,-0.147475,0.281422,0.135709,0.017232,1.304773,0.0,-0.064424,0,2,5,15.280164,1,-0.001472581,0.001943,1,0,-4.498942,0,0.00188,0.00082,0.0028,0.436170213,0.509090909,0,0,0.00281422,1.271142212,0.000148889,0,0.508223988,0.1737202,1.27667,1.27644,1.27021,1.27645,1.27021,1.26923,1.27713,1.27733,1.27043,1.27281,1.26996,1.26856,27569,29616,10469,0.000180189,0.004904701,0.000772122,1.033831,1.122289,0.47817,0.835372,0.7306,0.600379,-0.000359,-0.001135,0.00398,1,1,0,0,0,1,62.080057,61.740467,50.616984,0.33959,11.123483,2.190173,0,0,0,0.00022,0.00623,0.00098,0.00046,0.00089,0.00022,0.00364,0.00025,0.00067,2.090909091,0.142857143,0.224489796,0.893518519,0.879240163,0.882352941,0,0,0,1,0,0,0.00269484,0.00264232,0.00241321,0.000231701,0.000231771,-1.31e-05,0,0,1,0.406856282,0.793838863,0.245181592,0.020719533,0.671046963,0.128490888,11.463073,0.00646,2.090909091,0,0.65497982,1,Very Strong,1,0.905187240271478,4.0,1,1
2024.01.25 08:00:00,GBPUSD,1.27104,1.2737,1.27087,1.27263,24516,1.266898,1.271823,1.276747,1.003135,0.581995,0.77433,52.955177,0,1.177513,-0.106918,0.124938,0.258444,0.095597,-0.011015,0.718984,0.0,0.012591,0,2,9,15.136371,1,0.001250944,0.004117,0,0,3.341702,0,0.00159,0.00107,0.00017,0.672955975,0.621908127,0,0,0.00258444,1.271242864,5.66e-05,0,0.287338816,0.161437709,1.27104,1.27118,1.27243,1.27118,1.27158,1.27479,1.27174,1.27261,1.27506,1.27071,1.27035,1.27135,14449,10071,19805,-0.000110134,-0.000982372,-0.001851285,0.429452,0.448373,0.583696,0.774649,0.780616,0.805261,0.005621,0.005476,0.004263,0,0,0,1,1,0,49.613475,49.903297,52.443206,-0.289822,-2.539909,-5.137909,0,0,0,0.00014,0.0004,0.00236,0.00056,0.00103,0.00027,0.00033,0.00083,0.00108,4.0,2.575,0.11440678,0.32038835,0.367256637,0.291105121,1,1,0,1,1,1,0.00261545,0.002754,0.00282631,-5.97e-06,-4.99e-07,5.05e-05,1,1,0,0.1045473,0.227661932,0.362304688,0.014210313,0.040294147,0.23046875,-2.829731,-0.00139,0.0,0,0.906444504,1,Very Weak,0,0.08212156601137466,,0,0
2024.01.25 12:00:00,GBPUSD,1.27263,1.27427,1.2697,1.27364,32932,1.266922,1.27191,1.276898,1.002192,0.673433,0.784258,54.996935,0,1.502979,-2.90099,0.0793,0.265423,0.085656,0.124938,1.177513,0.0,-0.092063,0,2,10,15.203668,1,0.000793632,0.003258,0,0,2.041758,0,0.00101,0.00063,0.00293,0.623762376,0.86214442,0,0,0.00265423,1.271336869,9.4e-05,0,0.458099439,0.101242983,1.27263,1.27104,1.27118,1.27104,1.27118,1.27158,1.2737,1.27174,1.27261,1.27087,1.27071,1.27035,24516,14449,10071,0.001250944,-0.000110134,-0.000982372,0.581995,0.429452,0.448373,0.77433,0.774649,0.780616,0.004117,0.005621,0.005476,0,0,0,0,1,1,52.955177,49.613475,49.903297,3.341702,-0.289822,-2.539909,0,0,0,0.00159,0.00014,0.0004,0.00107,0.00056,0.00103,0.00017,0.00033,0.00083,0.672955975,4.0,2.575,0.621908127,0.32038835,0.367256637,0,1,1,0,1,1,0.00258444,0.00261545,0.002754,5.66e-05,-5.97e-06,-4.99e-07,0,1,1,0.287338816,0.1045473,0.227661932,0.161437709,0.014210313,0.040294147,3.05188,0.00145,0.0,0,0.664371658,1,Very Weak,0,0.11876505914627294,,0,0
2024.01.25 16:00:00,GBPUSD,1.27364,1.27364,1.26815,1.26902,46943,1.266731,1.271839,1.276947,1.00112,0.22407,0.803275,45.3099,0,2.037258,-0.188312,-0.36406,0.278263,0.07622,0.0793,1.502979,0.0,-0.122076,0,2,11,14.894958,1,-0.003627399,0.007927,0,1,-9.687035,0,0.00462,0.0,0.00087,0.0,0.158469945,0,1,0.00278263,1.271246011,-9.09e-05,1,0.537392326,0.452231793,1.27364,1.27263,1.27104,1.27263,1.27104,1.27118,1.27427,1.2737,1.27174,1.2697,1.27087,1.27071,32932,24516,14449,0.000793632,0.001250944,-0.000110134,0.673433,0.581995,0.429452,0.784258,0.77433,0.774649,0.003258,0.004117,0.005621,0,0,0,0,0,1,54.996935,52.955177,49.613475,2.041758,3.341702,-0.289822,0,0,0,0.00101,0.00159,0.00014,0.00063,0.00107,0.00056,0.00293,0.00017,0.00033,0.623762376,0.672955975,4.0,0.86214442,0.621908127,0.32038835,0,0,1,0,0,1,0.00265423,0.00258444,0.00261545,9.4e-05,5.66e-05,-5.97e-06,0,0,1,0.458099439,0.287338816,0.1045473,0.101242983,0.161437709,0.014210313,5.38346,0.0026,0.0,0,0.631392043,1,Very Strong,1,0.9488538921180195,4.0,1,1
