feature,importance
candle_body_pct,0.12879032046480454
close_pos_in_candle,0.11254908726326561
rsi_slope,0.10676049668478116
ret,0.06417306282734558
ret_lag1,0.04366918168591568
price_momentum,0.03953282001396896
rsi_slope_lag3,0.029383008501132308
rsi_slope_lag2,0.025106428185791452
rsi_slope_lag1,0.024776362203580423
ret_lag3,0.021858313934917637
close_pos_in_candle_lag3,0.01944528118155415
dist_bb_upper,0.019405591527455093
RSI_slope_3,0.019365143760479393
body_size,0.017488035124237807
bb_position,0.016832241254071557
close_pos_in_candle_lag2,0.01628016699781134
body_vs_bb,0.013765162850287291
ret_lag2,0.01233284312954338
price_slope_3,0.010893764199622237
close_pos_in_candle_lag1,0.01066452739620586
prev_candle_body_pct,0.010174416336391096
candle_rejection,0.009661632027535816
bb_position_lag1,0.009018365750315416
wick_ratio,0.008350158659578522
rsi_value,0.008128337890582031
bb_touch_strength,0.008075883191270266
dist_bb_upper_lag3,0.0064110102430326174
bb_position_lag2,0.006382682418631869
dist_bb_upper_lag1,0.006185198723964381
dist_bb_upper_lag2,0.006112747798702678
rsi_value_lag1,0.005907870545344463
candle_vs_bb,0.005586984130307026
body_vs_bb_lag3,0.005187556730373051
volume,0.004481085857559651
lower_high_lag1,0.004443710837446013
body_vs_bb_lag1,0.004380537049260427
candle_vs_bb_lag2,0.004276501508785501
bb_position_lag3,0.003854256515616588
body_size_lag1,0.0035120075707441747
rsi_value_lag3,0.003437537174844894
body_size_lag3,0.0034264855611272596
body_size_lag2,0.003373638505505848
rsi_value_lag2,0.003303749290957303
body_vs_bb_lag2,0.003266894590331496
wick_ratio_lag1,0.0032336976379985444
volume_ratio,0.0031388608424561854
time_since_last_touch,0.0030279566965799513
prev_volume_ratio,0.0029798131053066623
candle_vs_bb_lag1,0.0027282182358539324
volume_lag2,0.0027184887974485315
bb_width_pct,0.0026892419460248017
ema_50_slope_lag1,0.0026224072166707467
volume_lag3,0.00251285703504951
lower_wick,0.002397106577515389
upper_rejection,0.002327989992063075
gap_from_prev_close,0.002277930013400707
candle_vs_bb_lag3,0.0022669173730538875
ema_50_slope_lag3,0.002147987789285847
bb_mid_rejection,0.0021426689947490673
upper_wick,0.0021226361557995545
bb_width_pct_lag1,0.002076007624207692
ema_50_slope,0.0019479017207683922
volume_lag1,0.0018632765947009745
wick_ratio_lag3,0.0018084915222928363
bb_width_pct_lag2,0.0017975920036218643
atr_norm_lag1,0.0017546341843720744
wick_ratio_lag2,0.0017200915204616412
lower_wick_lag3,0.0017113240105061955
lower_wick_lag1,0.0016811618565683271
atr_norm_lag2,0.001659476098984386
ema_50_slope_lag2,0.0016514845813275893
atr_pct,0.0016418169251027218
upper_band,0.0016294212653861833
atr_norm,0.0016208420930341372
trend_strength,0.001596906223746901
upper_wick_lag3,0.0015547699169680888
ema_50,0.0014370280658590484
lower_wick_lag2,0.0014354535518153013
low_lag1,0.0014244248873832611
upper_wick_lag2,0.0013804159330194107
support_distance_pct,0.00137558979320746
low_lag2,0.0013681431463497722
close,0.001342773398291379
middle_band,0.0012834831354457698
close_lag1,0.0012592441713223075
low_lag3,0.0012406379371601999
upper_rejection_score,0.0012344907148369182
bb_width_pct_lag3,0.001231448760162112
open_lag1,0.001219246139908755
upper_wick_lag1,0.0012008867759500917
atr_norm_lag3,0.0011428386348687751
close_lag3,0.0011408185976055044
lower_high,0.0011281651370937983
bb_mid_rejection_lag1,0.00110198672848337
open_lag3,0.001082030104028459
high_lag1,0.001068437234596923
bb_upper_touch,0.0010377741526318447
open,0.0010374318018515221
high_lag3,0.0009837325680003776
open_lag2,0.0009633163808067021
bb_upper_touch_lag2,0.0009555742596124771
high_lag2,0.0009071273709572197
lower_band,0.0008819864979606279
high,0.0008785059128411486
session,0.0007714439463338379
low,0.00075082629651677
previous_touches,0.0007243077090021198
bb_upper_touch_lag1,0.0006628846685696853
close_lag2,0.0006572682086012434
lower_high_lag3,0.0006276530089529125
bb_mid_rejection_lag3,0.0005542094465215107
bb_mid_rejection_lag2,0.0004089832373258531
rsi_overbought,0.0003061739870044257
reversal_signal,0.0002795333175787111
rsi_overbought_lag3,0.00027786556752828947
price_below_ema50_lag2,0.000249990898213259
rsi_divergence,0.00023319001621230614
rsi_overbought_lag2,0.00023145580319019492
lower_high_lag2,0.0002055501683376778
upper_rejection_lag2,0.0001903157859816957
upper_rejection_lag1,0.00016694232924317038
price_below_ema50,0.0001532906583204334
bb_upper_touch_lag3,0.0001347236500920486
rsi_overbought_lag1,0.0001302461223396229
price_below_ema50_lag3,0.00012566048368429063
price_below_ema50_lag1,0.0001245346590413072
prev_was_selloff,0.00012045989407705894
upper_rejection_lag3,0.00010843369899486967
