timestamp,pair,open,high,low,close,volume,lower_band,middle_band,upper_band,bb_touch_strength,bb_position,bb_width_pct,rsi_value,rsi_divergence,volume_ratio,candle_rejection,candle_body_pct,atr_pct,trend_strength,prev_candle_body_pct,prev_volume_ratio,gap_from_prev_close,price_momentum,prev_was_selloff,previous_touches,time_since_last_touch,support_distance_pct,session,label
2009.01.27 08:00:00,EURUSD,1.324,1.3327,1.3177,1.3257,34416,1.275091,1.30093,1.326769,1.033417,0.979312,3.972408,64.560175,0,2.508016,-3.705882,0.128234,0.848231,-3.499208,0.581571,1.202489,0,0.121571,0,3,10,18.533605,1,0
2009.01.27 12:00:00,EURUSD,1.3257,1.3266,1.3149,1.32,40886,1.274689,1.301835,1.328981,1.031546,0.834574,4.170488,59.7465,0,2.62358,-0.894737,-0.431818,0.854356,-3.520871,0.128234,2.508016,0,-0.212491,0,3,11,18.181818,1,0
2009.01.27 16:00:00,EURUSD,1.3201,1.3243,1.3118,1.3177,48611,1.274508,1.302515,1.330522,1.02926,0.771093,4.300452,57.871445,0,2.74142,-2.458333,-0.182136,0.862474,-3.531001,-0.431818,2.62358,0.007576,-0.235759,1,3,12,18.039007,1,1
2009.02.04 00:00:00,EURUSD,1.3039,1.3047,1.2954,1.2976,11618,1.269294,1.285435,1.301576,1.020567,0.876832,2.511393,54.29985,0,0.487399,-0.349206,-0.485512,0.735722,-3.80645,0.774659,0.644615,0.00767,0.131406,0,6,14,16.76942,3,0
2009.02.04 04:00:00,EURUSD,1.2976,1.3038,1.2973,1.3026,10246,1.268495,1.2858,1.303105,1.022708,0.985405,2.691732,57.837795,0,0.435459,-0.06,0.383848,0.716191,-3.76401,-0.485512,0.487399,0,0.146673,0,5,15,17.088899,3,0
2009.02.04 08:00:00,EURUSD,1.3026,1.3069,1.2921,1.2947,34207,1.268398,1.285935,1.303472,1.018687,0.749899,2.727522,51.105778,0,1.398605,-0.329114,-0.61018,0.750744,-3.762416,0.383848,0.435459,0,-0.400832,0,4,16,16.582992,1,1
2009.02.16 16:00:00,EURUSD,1.2793,1.2825,1.2762,1.2771,3983,1.274111,1.28531,1.296509,1.00164,0.133452,1.742629,41.032471,0,0.833761,-0.409091,-0.172265,0.629116,-2.337053,0.211036,0.709334,-0.007816,0.172684,0,8,1,15.433404,1,0
2009.02.16 20:00:00,EURUSD,1.2772,1.2812,1.276,1.2799,1583,1.274184,1.284515,1.294846,1.001426,0.276651,1.608602,44.43547,0,0.355738,-0.444444,0.210954,0.611921,-2.288655,-0.172265,0.833761,0.00783,-0.015672,0,8,2,15.618408,2,0
2009.02.17 00:00:00,EURUSD,1.2801,1.2806,1.2658,1.2667,2960,1.27067,1.28357,1.29647,0.996167,-0.153887,2.009985,34.366504,0,0.708515,-0.067164,-1.057867,0.65759,-2.284045,0.210954,0.355738,0.015626,-0.799373,0,9,0,14.739086,3,1
2009.02.23 08:00:00,EURUSD,1.2893,1.2991,1.2842,1.2873,4541,1.243583,1.267065,1.290547,1.032661,0.930871,3.706441,63.731081,0,1.143627,-1.55,-0.155364,0.748671,-2.057523,-0.147355,0.629876,-0.007756,-0.248563,0,0,22,16.103472,1,0
