feature,importance
ret_lag1,0.0898260666635542
rsi_slope_lag3,0.06974564183456074
rsi_slope_lag1,0.0675641190343489
ret_lag3,0.06231053761904237
close_pos_in_candle_lag3,0.05373770658038254
rsi_slope_lag2,0.04741352924097438
close_pos_in_candle_lag2,0.04593891377296946
RSI_slope_3,0.03096717070005588
close_pos_in_candle_lag1,0.02827040209662357
ret_lag2,0.025913801184640265
price_slope_3,0.019159421476496023
body_size_lag2,0.016393039092023862
bb_position_lag2,0.01574889237003578
body_size_lag3,0.01572784066580166
body_vs_bb_lag2,0.014650205980077699
bb_position_lag3,0.013810702335883916
body_vs_bb_lag1,0.01362409936707104
bb_position_lag1,0.01292889011215954
body_vs_bb_lag3,0.012823597205322829
dist_bb_upper_lag2,0.012795409937007245
dist_bb_upper_lag3,0.012775499972259264
rsi_value_lag1,0.012230116893308206
candle_vs_bb_lag2,0.011824254883725524
dist_bb_upper_lag1,0.011735280695699232
volume_lag2,0.010997170825363143
body_size_lag1,0.010773707786504211
rsi_value_lag2,0.01028614425406699
wick_ratio_lag3,0.01012192029798115
candle_vs_bb_lag3,0.009366326299729466
wick_ratio_lag1,0.009218699800668168
lower_high_lag1,0.009212180085172625
wick_ratio_lag2,0.009196414902177355
candle_vs_bb_lag1,0.009092128949071654
volume_lag3,0.008651147916991678
rsi_value_lag3,0.008597299473369461
lower_wick_lag1,0.0075607599073662475
ema_50_slope_lag2,0.006825527787798872
ema_50_slope_lag1,0.006446085493491026
bb_width_pct_lag2,0.006430191910063374
ema_50_slope_lag3,0.006316050725710523
volume_lag1,0.006270307289100236
atr_norm_lag2,0.005966252839061353
atr_norm_lag3,0.005832188124771583
low_lag1,0.0058292363151665584
upper_wick_lag1,0.0058204394504295055
low_lag3,0.005589801804181494
close_lag2,0.005553341268876456
upper_wick_lag3,0.005500210297631624
lower_wick_lag3,0.005453414040192522
lower_wick_lag2,0.005408548144897361
upper_wick_lag2,0.005404759264063179
atr_norm_lag1,0.005382925216067371
high_lag3,0.005377853251811199
bb_width_pct_lag3,0.005339587125956931
open_lag1,0.004939705389761981
close_lag1,0.0048941402916533915
bb_width_pct_lag1,0.004831226772220904
high_lag1,0.004787054423672578
open_lag3,0.004746303804117397
low_lag2,0.00445651788094486
close_lag3,0.0044562915956035025
open_lag2,0.004400309194116257
high_lag2,0.004111327138204581
bb_mid_rejection_lag1,0.0034051647740234465
upper_rejection_score,0.0032624488676071153
lower_high_lag3,0.0027128194583180888
bb_mid_rejection_lag3,0.0014837370314463988
bb_upper_touch_lag2,0.0013187734257698
upper_rejection_lag2,0.0012006441355080022
lower_high_lag2,0.0011766303301691701
upper_rejection_lag1,0.0010717148069624763
bb_mid_rejection_lag2,0.000908180661023586
bb_upper_touch_lag3,0.0008162000411012071
price_below_ema50_lag2,0.0008098052343196991
rsi_overbought_lag1,0.0008035728355316518
bb_upper_touch_lag1,0.0007333230713570839
rsi_overbought_lag3,0.0007210106438227315
price_below_ema50_lag3,0.0007187340721987799
price_below_ema50_lag1,0.0005502356428146498
upper_rejection_lag3,0.0004204734076997308
reversal_signal,0.0003655904025101228
rsi_overbought_lag2,0.00016230410576343875
