feature,importance
rsi_slope_lag3,0.09048423099959146
ret_lag1,0.08136636045883525
rsi_slope_lag1,0.06481264435726174
ret_lag3,0.053809834671315296
close_pos_in_candle_lag3,0.05298495214481413
rsi_slope_lag2,0.04750962285913191
close_pos_in_candle_lag2,0.04436567371865568
ret_lag2,0.03140097817128868
RSI_slope_3,0.028998872258185798
close_pos_in_candle_lag1,0.02706312097695645
price_slope_3,0.019407152556176248
dist_bb_upper_lag3,0.016676816467567173
body_size_lag3,0.016030801764677565
dist_bb_upper_lag2,0.01557115888012873
bb_position_lag1,0.014757473001261
body_vs_bb_lag3,0.014330230762557817
body_vs_bb_lag2,0.014047652073967918
bb_position_lag3,0.013468655827436822
rsi_value_lag1,0.013461649280693157
body_size_lag2,0.01329941265365541
dist_bb_upper_lag1,0.01271914683035032
body_size_lag1,0.012152569089844818
candle_vs_bb_lag2,0.012115474933155963
body_vs_bb_lag1,0.012064035392829648
bb_position_lag2,0.010540366153432314
candle_vs_bb_lag3,0.00969529741817958
lower_high_lag1,0.00948065587542519
volume_lag2,0.009249092500613022
wick_ratio_lag1,0.00912300065628633
candle_vs_bb_lag1,0.008929892859112781
rsi_value_lag2,0.008440287593321516
wick_ratio_lag3,0.008328622032777934
volume_lag3,0.008265809322231723
wick_ratio_lag2,0.007851038292498003
rsi_value_lag3,0.007681750285539663
lower_wick_lag1,0.0070053631312828055
bb_width_pct_lag2,0.006948629654696599
volume_lag1,0.006853322726027468
ema_50_slope_lag2,0.006495739795722358
upper_wick_lag1,0.006393768776767289
atr_norm_lag2,0.006244561458241951
high_lag1,0.00617483412017383
atr_norm_lag3,0.006115300251356764
bb_width_pct_lag1,0.006069788959441836
atr_norm_lag1,0.006068785385776659
lower_wick_lag2,0.005948507241970638
ema_50_slope_lag1,0.005882122907697198
ema_50_slope_lag3,0.005610627919742908
bb_width_pct_lag3,0.005563111385432919
high_lag3,0.005466486518908591
upper_wick_lag2,0.005298032780467033
open_lag3,0.005246169014550251
close_lag1,0.005203192296946824
high_lag2,0.005087678202876237
upper_wick_lag3,0.004908505536659518
close_lag3,0.004830555178833474
low_lag1,0.004829778811787641
open_lag2,0.004761764742296144
lower_wick_lag3,0.004717991027972205
low_lag2,0.0045223791382852955
low_lag3,0.004491592340876708
close_lag2,0.004337647123374912
open_lag1,0.004337336915055497
upper_rejection_score,0.003802290888648142
bb_mid_rejection_lag1,0.003536926050228296
lower_high_lag3,0.0020801668778777007
bb_upper_touch_lag2,0.0016674620503752222
bb_mid_rejection_lag2,0.0016659663721354638
lower_high_lag2,0.0013604957551290968
upper_rejection_lag2,0.0011945561781170626
bb_upper_touch_lag3,0.0011721607422093107
rsi_overbought_lag1,0.0010578559772321191
bb_mid_rejection_lag3,0.0009816903844945156
upper_rejection_lag1,0.0009558121972618768
price_below_ema50_lag3,0.0008647305819070529
upper_rejection_lag3,0.0008261828191719071
reversal_signal,0.0007461680016116988
price_below_ema50_lag2,0.0005477202539889468
rsi_overbought_lag3,0.0004939174881615951
rsi_overbought_lag2,0.0004477259636391749
bb_upper_touch_lag1,0.00043648660932228076
price_below_ema50_lag1,0.00026377834551010544
