combo_index,h4_min_rsi_a,h4_overextension_mode,h4_min_bb_position_a,max_bars_in_trade,follow_through_bars,min_follow_through_pips,use_d1_filters,d1_min_rsi,d1_min_bb_position,d1_require_close_above_ubb,total_trades,wins,losses,win_rate_pct,net_pips,avg_pips_per_trade,profit_factor,max_drawdown_pips,expectancy_pips
216,60,touch_only,85,10,2,5,TRUE,0,0,FALSE,974,431,543,44.25,-583.1,-0.6,0.948,1035.2,-0.6
162,58,close_above_ubb,85,8,2,5,TRUE,0,0,FALSE,569,257,312,45.17,-330.3,-0.58,0.947,808.9,-0.58
161,58,close_above_ubb,85,8,2,3,TRUE,0,0,FALSE,568,259,309,45.6,-344.5,-0.61,0.946,795.9,-0.61
266,60,close_above_ubb,85,8,2,5,TRUE,0,0,FALSE,537,242,295,45.07,-323.7,-0.6,0.945,728.5,-0.6
164,58,close_above_ubb,85,10,2,5,TRUE,0,0,FALSE,569,256,313,44.99,-361.1,-0.63,0.943,808.9,-0.63
265,60,close_above_ubb,85,8,2,3,TRUE,0,0,FALSE,536,244,292,45.52,-346.9,-0.65,0.943,728.3,-0.65
163,58,close_above_ubb,85,10,2,3,TRUE,0,0,FALSE,568,258,310,45.42,-375.3,-0.66,0.942,826.7,-0.66
268,60,close_above_ubb,85,10,2,5,TRUE,0,0,FALSE,537,241,296,44.88,-354.5,-0.66,0.94,728.5,-0.66
142,58,touch_only,85,8,2,5,TRUE,60,0,FALSE,487,219,268,44.97,-340,-0.7,0.939,834.3,-0.7
144,58,touch_only,85,10,2,5,TRUE,60,0,FALSE,487,219,268,44.97,-340,-0.7,0.939,834.3,-0.7
267,60,close_above_ubb,85,10,2,3,TRUE,0,0,FALSE,536,243,293,45.34,-377.7,-0.7,0.938,759.1,-0.7
38,55,touch_only,85,8,2,5,TRUE,60,0,FALSE,502,225,277,44.82,-370.3,-0.74,0.936,859.3,-0.74
40,55,touch_only,85,10,2,5,TRUE,60,0,FALSE,502,225,277,44.82,-370.3,-0.74,0.936,859.3,-0.74
125,58,touch_only,85,8,2,3,TRUE,55,0,FALSE,656,289,367,44.05,-531.3,-0.81,0.931,1032.6,-0.81
127,58,touch_only,85,10,2,3,TRUE,55,0,FALSE,656,289,367,44.05,-559.5,-0.85,0.928,1032.8,-0.85
41,55,touch_only,85,8,2,3,TRUE,60,0,TRUE,180,86,94,47.78,-158,-0.88,0.926,431,-0.88
43,55,touch_only,85,10,2,3,TRUE,60,0,TRUE,180,86,94,47.78,-158,-0.88,0.926,431,-0.88
145,58,touch_only,85,8,2,3,TRUE,60,0,TRUE,180,86,94,47.78,-158,-0.88,0.926,431,-0.88
147,58,touch_only,85,10,2,3,TRUE,60,0,TRUE,180,86,94,47.78,-158,-0.88,0.926,431,-0.88
249,60,touch_only,85,8,2,3,TRUE,60,0,TRUE,180,86,94,47.78,-158,-0.88,0.926,431,-0.88
251,60,touch_only,85,10,2,3,TRUE,60,0,TRUE,180,86,94,47.78,-158,-0.88,0.926,431,-0.88
21,55,touch_only,85,8,2,3,TRUE,55,0,FALSE,690,304,386,44.06,-633.8,-0.92,0.923,1076.8,-0.92
23,55,touch_only,85,10,2,3,TRUE,55,0,FALSE,690,304,386,44.06,-662,-0.96,0.92,1077,-0.96
229,60,touch_only,85,8,2,3,TRUE,55,0,FALSE,623,274,349,43.98,-627,-1.01,0.915,1205,-1.01
231,60,touch_only,85,10,2,3,TRUE,55,0,FALSE,623,274,349,43.98,-655.2,-1.05,0.911,1205,-1.05
126,58,touch_only,85,8,2,5,TRUE,55,0,FALSE,660,286,374,43.33,-699.1,-1.06,0.909,1236.5,-1.06
128,58,touch_only,85,10,2,5,TRUE,55,0,FALSE,660,286,374,43.33,-699.3,-1.06,0.909,1236.7,-1.06
22,55,touch_only,85,8,2,5,TRUE,55,0,FALSE,694,301,393,43.37,-772,-1.11,0.905,1251.1,-1.11
24,55,touch_only,85,10,2,5,TRUE,55,0,FALSE,694,301,393,43.37,-772.2,-1.11,0.905,1251.3,-1.11
42,55,touch_only,85,8,2,5,TRUE,60,0,TRUE,181,86,95,47.51,-212.1,-1.17,0.9,431,-1.17
44,55,touch_only,85,10,2,5,TRUE,60,0,TRUE,181,86,95,47.51,-212.1,-1.17,0.9,431,-1.17
146,58,touch_only,85,8,2,5,TRUE,60,0,TRUE,181,86,95,47.51,-212.1,-1.17,0.9,431,-1.17
148,58,touch_only,85,10,2,5,TRUE,60,0,TRUE,181,86,95,47.51,-212.1,-1.17,0.9,431,-1.17
250,60,touch_only,85,8,2,5,TRUE,60,0,TRUE,181,86,95,47.51,-212.1,-1.17,0.9,431,-1.17
252,60,touch_only,85,10,2,5,TRUE,60,0,TRUE,181,86,95,47.51,-212.1,-1.17,0.9,431,-1.17
230,60,touch_only,85,8,2,5,TRUE,55,0,FALSE,626,270,356,43.13,-759.7,-1.21,0.896,1382.7,-1.21
232,60,touch_only,85,10,2,5,TRUE,55,0,FALSE,626,270,356,43.13,-759.9,-1.21,0.896,1382.7,-1.21
9,55,touch_only,85,8,2,3,TRUE,0,0,TRUE,197,92,105,46.7,-253.2,-1.29,0.894,481,-1.29
11,55,touch_only,85,10,2,3,TRUE,0,0,TRUE,197,92,105,46.7,-253.2,-1.29,0.894,481,-1.29
113,58,touch_only,85,8,2,3,TRUE,0,0,TRUE,197,92,105,46.7,-253.2,-1.29,0.894,481,-1.29
115,58,touch_only,85,10,2,3,TRUE,0,0,TRUE,197,92,105,46.7,-253.2,-1.29,0.894,481,-1.29
217,60,touch_only,85,8,2,3,TRUE,0,0,TRUE,197,92,105,46.7,-253.2,-1.29,0.894,481,-1.29
219,60,touch_only,85,10,2,3,TRUE,0,0,TRUE,197,92,105,46.7,-253.2,-1.29,0.894,481,-1.29
25,55,touch_only,85,8,2,3,TRUE,55,0,TRUE,192,90,102,46.88,-253.2,-1.32,0.891,505,-1.32
27,55,touch_only,85,10,2,3,TRUE,55,0,TRUE,192,90,102,46.88,-253.2,-1.32,0.891,505,-1.32
129,58,touch_only,85,8,2,3,TRUE,55,0,TRUE,192,90,102,46.88,-253.2,-1.32,0.891,505,-1.32
131,58,touch_only,85,10,2,3,TRUE,55,0,TRUE,192,90,102,46.88,-253.2,-1.32,0.891,505,-1.32
233,60,touch_only,85,8,2,3,TRUE,55,0,TRUE,192,90,102,46.88,-253.2,-1.32,0.891,505,-1.32
235,60,touch_only,85,10,2,3,TRUE,55,0,TRUE,192,90,102,46.88,-253.2,-1.32,0.891,505,-1.32
10,55,touch_only,85,8,2,5,TRUE,0,0,TRUE,198,92,106,46.46,-307.3,-1.55,0.871,510.7,-1.55
12,55,touch_only,85,10,2,5,TRUE,0,0,TRUE,198,92,106,46.46,-307.3,-1.55,0.871,510.7,-1.55
114,58,touch_only,85,8,2,5,TRUE,0,0,TRUE,198,92,106,46.46,-307.3,-1.55,0.871,510.7,-1.55
116,58,touch_only,85,10,2,5,TRUE,0,0,TRUE,198,92,106,46.46,-307.3,-1.55,0.871,510.7,-1.55
218,60,touch_only,85,8,2,5,TRUE,0,0,TRUE,198,92,106,46.46,-307.3,-1.55,0.871,510.7,-1.55
220,60,touch_only,85,10,2,5,TRUE,0,0,TRUE,198,92,106,46.46,-307.3,-1.55,0.871,510.7,-1.55
26,55,touch_only,85,8,2,5,TRUE,55,0,TRUE,193,90,103,46.63,-307.3,-1.59,0.868,510.7,-1.59
28,55,touch_only,85,10,2,5,TRUE,55,0,TRUE,193,90,103,46.63,-307.3,-1.59,0.868,510.7,-1.59
130,58,touch_only,85,8,2,5,TRUE,55,0,TRUE,193,90,103,46.63,-307.3,-1.59,0.868,510.7,-1.59
132,58,touch_only,85,10,2,5,TRUE,55,0,TRUE,193,90,103,46.63,-307.3,-1.59,0.868,510.7,-1.59
234,60,touch_only,85,8,2,5,TRUE,55,0,TRUE,193,90,103,46.63,-307.3,-1.59,0.868,510.7,-1.59
236,60,touch_only,85,10,2,5,TRUE,55,0,TRUE,193,90,103,46.63,-307.3,-1.59,0.868,510.7,-1.59
61,55,close_above_ubb,85,8,2,3,TRUE,0,0,TRUE,117,54,63,46.15,-240.3,-2.05,0.839,360.5,-2.05
63,55,close_above_ubb,85,10,2,3,TRUE,0,0,TRUE,117,54,63,46.15,-240.3,-2.05,0.839,360.5,-2.05
165,58,close_above_ubb,85,8,2,3,TRUE,0,0,TRUE,117,54,63,46.15,-240.3,-2.05,0.839,360.5,-2.05
167,58,close_above_ubb,85,10,2,3,TRUE,0,0,TRUE,117,54,63,46.15,-240.3,-2.05,0.839,360.5,-2.05
269,60,close_above_ubb,85,8,2,3,TRUE,0,0,TRUE,117,54,63,46.15,-240.3,-2.05,0.839,360.5,-2.05
271,60,close_above_ubb,85,10,2,3,TRUE,0,0,TRUE,117,54,63,46.15,-240.3,-2.05,0.839,360.5,-2.05
77,55,close_above_ubb,85,8,2,3,TRUE,55,0,TRUE,115,53,62,46.09,-260.3,-2.26,0.826,360.5,-2.26
79,55,close_above_ubb,85,10,2,3,TRUE,55,0,TRUE,115,53,62,46.09,-260.3,-2.26,0.826,360.5,-2.26
181,58,close_above_ubb,85,8,2,3,TRUE,55,0,TRUE,115,53,62,46.09,-260.3,-2.26,0.826,360.5,-2.26
183,58,close_above_ubb,85,10,2,3,TRUE,55,0,TRUE,115,53,62,46.09,-260.3,-2.26,0.826,360.5,-2.26
285,60,close_above_ubb,85,8,2,3,TRUE,55,0,TRUE,115,53,62,46.09,-260.3,-2.26,0.826,360.5,-2.26
287,60,close_above_ubb,85,10,2,3,TRUE,55,0,TRUE,115,53,62,46.09,-260.3,-2.26,0.826,360.5,-2.26
62,55,close_above_ubb,85,8,2,5,TRUE,0,0,TRUE,117,54,63,46.15,-264.4,-2.26,0.819,384.6,-2.26
64,55,close_above_ubb,85,10,2,5,TRUE,0,0,TRUE,117,54,63,46.15,-264.4,-2.26,0.819,384.6,-2.26
166,58,close_above_ubb,85,8,2,5,TRUE,0,0,TRUE,117,54,63,46.15,-264.4,-2.26,0.819,384.6,-2.26
168,58,close_above_ubb,85,10,2,5,TRUE,0,0,TRUE,117,54,63,46.15,-264.4,-2.26,0.819,384.6,-2.26
270,60,close_above_ubb,85,8,2,5,TRUE,0,0,TRUE,117,54,63,46.15,-264.4,-2.26,0.819,384.6,-2.26
272,60,close_above_ubb,85,10,2,5,TRUE,0,0,TRUE,117,54,63,46.15,-264.4,-2.26,0.819,384.6,-2.26
