combo_index,h4_min_rsi_a,h4_overextension_mode,h4_min_bb_position_a,max_bars_in_trade,follow_through_bars,min_follow_through_pips,use_d1_filters,d1_min_rsi,d1_min_bb_position,d1_require_close_above_ubb,total_trades,wins,losses,win_rate_pct,net_pips,avg_pips_per_trade,profit_factor,max_drawdown_pips,expectancy_pips
119,58,touch_only,85,10,2,3,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
120,58,touch_only,85,10,2,5,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
121,58,touch_only,85,8,2,3,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
122,58,touch_only,85,8,2,5,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
123,58,touch_only,85,10,2,3,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
124,58,touch_only,85,10,2,5,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
133,58,touch_only,85,8,2,3,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
134,58,touch_only,85,8,2,5,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
135,58,touch_only,85,10,2,3,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
136,58,touch_only,85,10,2,5,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
137,58,touch_only,85,8,2,3,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
138,58,touch_only,85,8,2,5,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
139,58,touch_only,85,10,2,3,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
140,58,touch_only,85,10,2,5,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
149,58,touch_only,85,8,2,3,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
150,58,touch_only,85,8,2,5,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
151,58,touch_only,85,10,2,3,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
152,58,touch_only,85,10,2,5,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
153,58,touch_only,85,8,2,3,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
154,58,touch_only,85,8,2,5,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
155,58,touch_only,85,10,2,3,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
156,58,touch_only,85,10,2,5,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
169,58,close_above_ubb,85,8,2,3,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
170,58,close_above_ubb,85,8,2,5,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
171,58,close_above_ubb,85,10,2,3,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
172,58,close_above_ubb,85,10,2,5,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
173,58,close_above_ubb,85,8,2,3,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
174,58,close_above_ubb,85,8,2,5,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
175,58,close_above_ubb,85,10,2,3,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
176,58,close_above_ubb,85,10,2,5,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
185,58,close_above_ubb,85,8,2,3,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
186,58,close_above_ubb,85,8,2,5,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
187,58,close_above_ubb,85,10,2,3,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
188,58,close_above_ubb,85,10,2,5,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
189,58,close_above_ubb,85,8,2,3,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
190,58,close_above_ubb,85,8,2,5,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
191,58,close_above_ubb,85,10,2,3,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
192,58,close_above_ubb,85,10,2,5,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
201,58,close_above_ubb,85,8,2,3,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
202,58,close_above_ubb,85,8,2,5,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
203,58,close_above_ubb,85,10,2,3,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
204,58,close_above_ubb,85,10,2,5,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
205,58,close_above_ubb,85,8,2,3,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
206,58,close_above_ubb,85,8,2,5,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
207,58,close_above_ubb,85,10,2,3,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
208,58,close_above_ubb,85,10,2,5,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
221,60,touch_only,85,8,2,3,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
222,60,touch_only,85,8,2,5,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
223,60,touch_only,85,10,2,3,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
224,60,touch_only,85,10,2,5,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
225,60,touch_only,85,8,2,3,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
226,60,touch_only,85,8,2,5,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
227,60,touch_only,85,10,2,3,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
228,60,touch_only,85,10,2,5,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
237,60,touch_only,85,8,2,3,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
238,60,touch_only,85,8,2,5,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
239,60,touch_only,85,10,2,3,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
240,60,touch_only,85,10,2,5,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
241,60,touch_only,85,8,2,3,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
242,60,touch_only,85,8,2,5,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
243,60,touch_only,85,10,2,3,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
244,60,touch_only,85,10,2,5,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
253,60,touch_only,85,8,2,3,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
254,60,touch_only,85,8,2,5,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
255,60,touch_only,85,10,2,3,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
256,60,touch_only,85,10,2,5,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
257,60,touch_only,85,8,2,3,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
258,60,touch_only,85,8,2,5,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
259,60,touch_only,85,10,2,3,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
260,60,touch_only,85,10,2,5,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
273,60,close_above_ubb,85,8,2,3,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
274,60,close_above_ubb,85,8,2,5,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
275,60,close_above_ubb,85,10,2,3,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
276,60,close_above_ubb,85,10,2,5,TRUE,0,85,FALSE,0,0,0,0,0,0,,0,0
277,60,close_above_ubb,85,8,2,3,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
278,60,close_above_ubb,85,8,2,5,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
279,60,close_above_ubb,85,10,2,3,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
280,60,close_above_ubb,85,10,2,5,TRUE,0,85,TRUE,0,0,0,0,0,0,,0,0
289,60,close_above_ubb,85,8,2,3,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
290,60,close_above_ubb,85,8,2,5,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
291,60,close_above_ubb,85,10,2,3,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
292,60,close_above_ubb,85,10,2,5,TRUE,55,85,FALSE,0,0,0,0,0,0,,0,0
293,60,close_above_ubb,85,8,2,3,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
294,60,close_above_ubb,85,8,2,5,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
295,60,close_above_ubb,85,10,2,3,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
296,60,close_above_ubb,85,10,2,5,TRUE,55,85,TRUE,0,0,0,0,0,0,,0,0
305,60,close_above_ubb,85,8,2,3,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
306,60,close_above_ubb,85,8,2,5,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
307,60,close_above_ubb,85,10,2,3,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
308,60,close_above_ubb,85,10,2,5,TRUE,60,85,FALSE,0,0,0,0,0,0,,0,0
309,60,close_above_ubb,85,8,2,3,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
310,60,close_above_ubb,85,8,2,5,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
311,60,close_above_ubb,85,10,2,3,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
312,60,close_above_ubb,85,10,2,5,TRUE,60,85,TRUE,0,0,0,0,0,0,,0,0
