timestamp,confidence,signal,candle_body,momentum,bb_pos,strength
2024.04.16 08:00:00,0.682023245,1,0.030555,-0.09581,0.221048,WEAK
2024.04.17 00:00:00,0.717132711,1,0.055514,0.12656,0.259288,MEDIUM
2024.04.17 20:00:00,0.767490098,1,0.20555,0.019317,0.592796,MEDIUM
2024.04.19 08:00:00,0.842903242,1,0.165592,0.116233,0.438948,STRONG
2024.04.19 12:00:00,0.663631922,1,0.066675,0.210428,0.555588,WEAK
2024.04.22 00:00:00,0.721583586,1,0.054961,-0.01779,-0.044526,MEDIUM
2024.04.22 16:00:00,0.84828438,1,0.290759,-0.078804,0.101304,STRONG
2024.04.23 00:00:00,0.664974497,1,0.100368,-0.132845,0.213672,WEAK
2024.04.23 08:00:00,0.652665437,1,0.151172,-0.12796,0.342566,WEAK
2024.04.24 12:00:00,0.710971183,1,0.124582,0.020125,0.757912,MEDIUM
2024.04.25 16:00:00,0.686707892,1,0.289258,-0.079412,0.885201,WEAK
2024.04.26 20:00:00,0.701471127,1,0.044826,0.291592,0.623754,MEDIUM
2024.04.29 12:00:00,0.670421883,1,0.090186,-0.039161,0.788302,WEAK
2024.05.01 00:00:00,0.693560739,1,0.024829,-0.068055,0.134395,WEAK
2024.05.01 08:00:00,0.765955797,1,0.16403,-0.046504,0.301126,MEDIUM
2024.05.01 20:00:00,0.705644166,1,0.383912,0.010419,0.615565,MEDIUM
2024.05.02 16:00:00,0.680415486,1,0.011185,-0.266293,0.473125,WEAK
2024.05.03 20:00:00,0.696853035,1,0.032678,0.079014,0.695581,WEAK
2024.05.08 12:00:00,0.819763402,1,0.03686,0.049729,0.064528,STRONG
2024.05.08 16:00:00,0.697661979,1,0.144025,-0.008017,0.220727,WEAK
2024.05.09 12:00:00,0.798708121,1,0.235155,-0.194868,0.37057,MEDIUM
2024.05.09 16:00:00,0.661152018,1,0.093495,0.338269,0.468944,WEAK
2024.05.10 16:00:00,0.683102944,1,0.098129,-0.107863,0.827274,WEAK
2024.05.14 12:00:00,0.699143352,1,0.196764,0.080739,0.764472,WEAK
2024.05.23 00:00:00,0.66247725,1,0.06368,0.013375,0.676555,WEAK
2024.05.23 12:00:00,0.657329573,1,0.089537,-0.081005,0.871955,WEAK
2024.05.24 00:00:00,0.829813289,1,0.029934,0.01419,0.055733,STRONG
2024.05.24 08:00:00,0.802298162,1,0.102324,-0.100102,0.314023,STRONG
2024.05.30 04:00:00,0.716172588,1,0.014178,-0.00788,0.010847,MEDIUM
2024.05.30 08:00:00,0.73145116,1,0.132157,-0.065409,0.189357,MEDIUM
2024.05.30 12:00:00,0.68712048,1,0.096664,0.174276,0.308777,WEAK
2024.05.31 12:00:00,0.706143046,1,0.289491,0.049606,0.593954,MEDIUM
2024.05.31 20:00:00,0.762727189,1,0.100454,0.05347,0.615067,MEDIUM
2024.06.03 12:00:00,0.773783092,1,0.208937,-0.076354,0.56285,MEDIUM
2024.06.04 16:00:00,0.678497795,1,0.168147,0.125562,0.76651,WEAK
2024.06.05 20:00:00,0.684005583,1,0.072731,0.151311,0.657845,WEAK
2024.06.10 00:00:00,0.677850217,1,0.010217,-0.111654,0.001555,WEAK
2024.06.10 12:00:00,0.828927803,1,0.038544,-0.138522,0.108721,STRONG
2024.06.10 16:00:00,0.723972814,1,0.124131,0.125315,0.253228,MEDIUM
2024.06.11 12:00:00,0.696597846,1,0.153011,0.071576,0.477586,WEAK
2024.06.11 20:00:00,0.742803192,1,0.080068,0.166067,0.473631,MEDIUM
2024.06.13 00:00:00,0.66230633,1,0.009379,-0.002345,0.788043,WEAK
2024.06.13 20:00:00,0.734988891,1,0.138681,0.054167,0.503063,MEDIUM
2024.06.17 00:00:00,0.722145874,1,0.023651,-0.056001,0.128529,MEDIUM
2024.06.17 16:00:00,0.714570478,1,0.226847,0.041078,0.293599,MEDIUM
2024.06.18 12:00:00,0.727913569,1,0.08825,-0.031564,0.355044,MEDIUM
2024.06.21 00:00:00,0.683238108,1,0.030025,-0.027658,-0.001993,WEAK
2024.06.21 20:00:00,0.838971706,1,0.016613,0.106164,0.118406,STRONG
2024.06.24 00:00:00,0.698646052,1,0.05617,-0.071228,0.155958,WEAK
2024.06.27 04:00:00,0.766796539,1,0.170937,0.010307,0.23007,MEDIUM
2024.06.27 12:00:00,0.658228018,1,0.158828,0.062567,0.412222,WEAK
2024.06.28 08:00:00,0.661353336,1,0.097345,0.006338,0.324727,WEAK
2024.06.28 20:00:00,0.681971113,1,0.011864,0.090336,0.453823,WEAK
2024.07.02 12:00:00,0.779734427,1,0.28189,0.09195,0.856525,MEDIUM
2024.07.04 00:00:00,0.664679982,1,0.101172,-0.018847,0.99268,WEAK
2024.07.09 20:00:00,0.708946372,1,0.025027,0.028174,0.36904,MEDIUM
2024.07.17 20:00:00,0.671131377,1,0.033824,0.013078,0.81771,WEAK
2024.07.19 00:00:00,0.725435897,1,0.031673,-0.04173,0.167304,MEDIUM
2024.07.19 12:00:00,0.814324178,1,0.023993,-0.111503,0.092219,STRONG
2024.07.22 00:00:00,0.739706282,1,0.153922,-0.007748,0.242717,MEDIUM
2024.07.22 08:00:00,0.697519768,1,0.077354,-0.017038,0.281585,WEAK
2024.07.22 16:00:00,0.676856061,1,0.012386,-0.06737,0.265619,WEAK
2024.07.23 16:00:00,0.856003085,1,0.034082,0.128028,0.252204,STRONG
2024.07.24 08:00:00,0.824095661,1,0.06901,-0.047347,0.118027,STRONG
2024.07.24 12:00:00,0.680699551,1,0.243653,0.082314,0.755863,WEAK
2024.07.25 16:00:00,0.858825456,1,0.062874,0.030328,0.15302,STRONG
2024.07.26 00:00:00,0.777344236,1,0.08478,-0.027239,0.028556,MEDIUM
2024.07.26 04:00:00,0.653497411,1,0.055194,0.061498,0.141881,WEAK
2024.07.26 08:00:00,0.701420084,1,0.013991,0.024117,0.192387,MEDIUM
2024.07.26 12:00:00,0.664582512,1,0.007772,-0.014,0.228812,WEAK
2024.07.26 16:00:00,0.678932885,1,0.060586,-0.04434,0.334406,WEAK
2024.07.29 00:00:00,0.692986481,1,0.221191,-0.073062,0.494547,WEAK
2024.07.29 12:00:00,0.86799652,1,0.195512,-0.01015,0.136228,STRONG
2024.07.29 16:00:00,0.721896174,1,0.12525,0.124153,0.307836,MEDIUM
2024.07.30 16:00:00,0.84584322,1,0.037402,-0.069376,0.160057,STRONG
2024.07.30 20:00:00,0.728886103,1,0.015582,0.056944,0.218408,MEDIUM
2024.07.31 00:00:00,0.679465864,1,0.112923,-0.045997,0.306817,WEAK
2024.07.31 12:00:00,0.815409774,1,0.136991,-0.00078,0.444275,STRONG
2024.07.31 20:00:00,0.792445903,1,0.147798,-0.010919,0.583296,MEDIUM
2024.08.01 12:00:00,0.783830341,1,0.245896,-0.198023,0.133035,MEDIUM
2024.08.02 04:00:00,0.686919717,1,0.00943,-0.062103,-0.013528,WEAK
2024.08.02 08:00:00,0.728669205,1,0.080878,-0.047196,0.099935,MEDIUM
2024.08.02 20:00:00,0.756419489,1,0.125734,0.039114,0.50152,MEDIUM
2024.08.05 04:00:00,0.686925622,1,0.130463,-0.014085,0.501807,WEAK
2024.08.05 16:00:00,0.737121628,1,0.108097,0.164213,0.370551,MEDIUM
2024.08.06 16:00:00,0.862801205,1,0.20071,0.048135,0.109904,STRONG
2024.08.07 00:00:00,0.836698893,1,0.155088,-0.030746,0.178261,STRONG
2024.08.07 12:00:00,0.657024596,1,0.162704,0.07803,0.336453,WEAK
2024.08.08 16:00:00,0.718327832,1,0.522664,0.086065,0.65496,MEDIUM
2024.08.09 16:00:00,0.688848412,1,0.162251,0.040861,0.893768,WEAK
2024.08.15 16:00:00,0.656344512,1,0.25989,-0.086652,0.729257,WEAK
2024.08.19 16:00:00,0.650918048,1,0.235718,-0.013135,0.949105,WEAK
2024.08.21 12:00:00,0.681957159,1,0.249138,0.011529,0.853286,WEAK
2024.08.22 20:00:00,0.660253373,1,0.041248,-0.038986,0.757108,WEAK
2024.08.28 20:00:00,0.742574864,1,0.03639,-0.04934,0.273088,MEDIUM
2024.08.29 16:00:00,0.864854563,1,0.16461,-0.067662,0.258449,STRONG
2024.08.30 00:00:00,0.836262109,1,0.053919,-0.034187,0.178701,STRONG
2024.08.30 08:00:00,0.672845373,1,0.143366,0.029635,0.327116,WEAK
2024.08.30 20:00:00,0.863122534,1,0.077688,0.014493,0.089795,STRONG
2024.09.02 00:00:00,0.67682021,1,0.066242,0.060253,0.157648,WEAK
2024.09.02 08:00:00,0.729892598,1,0.070042,0.022104,0.210974,MEDIUM
2024.09.03 12:00:00,0.745732546,1,0.063211,0.009154,0.296563,MEDIUM
2024.09.03 20:00:00,0.865233297,1,0.09226,-0.006112,0.197968,STRONG
2024.09.04 04:00:00,0.811172412,1,0.102154,0.027485,0.284344,STRONG
2024.09.04 08:00:00,0.652101,1,0.025913,-0.00458,0.345683,WEAK
